
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.18    -0.01    -2.60     2.62    24.98    24.90     1.95    -1.94     0.25     0.27     0.00    -0.02     0.00     7.24
    30.00  1000.00     0.00     0.42     0.22    -3.36     3.37    30.05    29.97     2.17    -2.16     0.28     0.30    -0.03     0.01    -7.34     0.00
    30.00 -1000.00     0.00     0.02     0.22    -3.39     3.37    29.89    29.97     2.15    -2.16     0.33     0.30     0.02     0.01     7.23     0.00
    30.00     0.00  1000.00     0.22     0.42    -3.37     3.36    29.97    30.05     2.16    -2.17     0.30     0.28    -0.01     0.03     0.00    -7.34
    30.00     0.00 -1000.00     0.22     0.02    -3.37     3.39    29.97    29.89     2.16    -2.15     0.30     0.33    -0.01    -0.02     0.00     7.23
    -5.00  1000.00     0.00     0.16    -0.04     0.29    -0.27    -4.92    -5.00     0.84    -0.83    -0.07    -0.05    -0.03     0.00    -7.45     0.00
    -5.00 -1000.00     0.00    -0.23    -0.04     0.25    -0.27    -5.08    -5.00     0.83    -0.83    -0.03    -0.05     0.03     0.00     7.37     0.00
    -5.00     0.00  1000.00    -0.04     0.16     0.27    -0.29    -5.00    -4.92     0.83    -0.84    -0.05    -0.07     0.00     0.03     0.00    -7.45
    -5.00     0.00 -1000.00    -0.04    -0.23     0.27    -0.25    -5.00    -5.08     0.83    -0.83    -0.05    -0.03     0.00    -0.03     0.00     7.37
   -10.00  1000.00     0.00     0.12    -0.07     0.48    -0.46    -9.92   -10.00     0.67    -0.67    -0.12    -0.10    -0.02     0.00    -7.47     0.00
   -10.00 -1000.00     0.00    -0.27    -0.07     0.44    -0.46   -10.08   -10.00     0.66    -0.67    -0.08    -0.10     0.03     0.00     7.39     0.00
   -10.00     0.00  1000.00    -0.07     0.12     0.46    -0.48   -10.00    -9.92     0.67    -0.67    -0.10    -0.12     0.00     0.02     0.00    -7.47
   -10.00     0.00 -1000.00    -0.07    -0.27     0.46    -0.44   -10.00   -10.08     0.67    -0.66    -0.10    -0.08     0.00    -0.03     0.00     7.39
   -15.00  1000.00     0.00     0.08    -0.11     0.59    -0.57   -14.92   -15.01     0.52    -0.51    -0.17    -0.15    -0.02     0.00    -7.49     0.00
   -15.00 -1000.00     0.00    -0.31    -0.11     0.55    -0.57   -15.09   -15.01     0.51    -0.51    -0.13    -0.15     0.03     0.00     7.41     0.00
   -15.00     0.00  1000.00    -0.11     0.08     0.57    -0.59   -15.01   -14.92     0.51    -0.52    -0.15    -0.17     0.00     0.02     0.00    -7.49
   -15.00     0.00 -1000.00    -0.11    -0.31     0.57    -0.55   -15.01   -15.09     0.51    -0.51    -0.15    -0.13     0.00    -0.03     0.00     7.41
   -20.00  1000.00     0.00     0.05    -0.15     0.62    -0.59   -19.93   -20.01     0.36    -0.36    -0.22    -0.20    -0.02     0.00    -7.51     0.00
   -20.00 -1000.00     0.00    -0.34    -0.15     0.57    -0.59   -20.09   -20.01     0.36    -0.36    -0.18    -0.20     0.03     0.00     7.43     0.00
   -20.00     0.00  1000.00    -0.15     0.05     0.59    -0.62   -20.01   -19.93     0.36    -0.36    -0.20    -0.22     0.00     0.02     0.00    -7.51
   -20.00     0.00 -1000.00    -0.15    -0.34     0.59    -0.57   -20.01   -20.09     0.36    -0.36    -0.20    -0.18     0.00    -0.03     0.00     7.43
   -25.00  1000.00     0.00     0.01    -0.19     0.56    -0.53   -24.93   -25.01     0.22    -0.22    -0.27    -0.25    -0.02     0.00    -7.53     0.00
   -25.00 -1000.00     0.00    -0.38    -0.19     0.51    -0.53   -25.10   -25.01     0.21    -0.22    -0.23    -0.25     0.03     0.00     7.45     0.00
   -25.00     0.00  1000.00    -0.19     0.01     0.53    -0.56   -25.01   -24.93     0.22    -0.22    -0.25    -0.27     0.00     0.02     0.00    -7.53
   -25.00     0.00 -1000.00    -0.19    -0.38     0.53    -0.51   -25.01   -25.10     0.22    -0.21    -0.25    -0.23     0.00    -0.03     0.00     7.45
   -30.00  1000.00     0.00    -0.03    -0.22     0.42    -0.39   -29.94   -30.02     0.08    -0.08    -0.32    -0.30    -0.02    -0.01    -7.54     0.00
   -30.00 -1000.00     0.00    -0.42    -0.22     0.37    -0.39   -30.10   -30.02     0.07    -0.08    -0.29    -0.30     0.03    -0.01     7.47     0.00
   -30.00     0.00  1000.00    -0.22    -0.03     0.39    -0.42   -30.02   -29.94     0.08    -0.08    -0.30    -0.32     0.01     0.02     0.00    -7.54
   -30.00     0.00 -1000.00    -0.22    -0.42     0.39    -0.37   -30.02   -30.10     0.08    -0.07    -0.30    -0.29     0.01    -0.03     0.00     7.47
