
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.18     0.20    -2.60     2.36    24.98    23.42     1.45    -1.38     0.25     0.23    -0.20     0.20     0.00   140.36
    30.00  1000.00     0.00     0.23     0.22    -3.07     3.37    28.23    29.97     1.58    -1.66     0.28     0.31    -0.20     0.20   156.43     0.00
    30.00 -1000.00     0.00     0.21     0.22    -3.71     3.37    31.84    29.97     1.74    -1.66     0.33     0.31    -0.21     0.20  -168.53     0.00
    30.00     0.00  1000.00     0.22     0.21    -3.37     3.71    29.97    31.84     1.66    -1.74     0.31     0.33    -0.20     0.21     0.00  -168.53
    30.00     0.00 -1000.00     0.22     0.23    -3.37     3.07    29.97    28.23     1.66    -1.58     0.31     0.28    -0.20     0.20     0.00   156.43
    -5.00  1000.00     0.00    -0.02    -0.04     0.32    -0.27    -5.50    -5.00     0.31    -0.33    -0.06    -0.05    -0.19     0.20    44.56     0.00
    -5.00 -1000.00     0.00    -0.06    -0.04     0.22    -0.27    -4.47    -5.00     0.35    -0.33    -0.04    -0.05    -0.20     0.20   -47.97     0.00
    -5.00     0.00  1000.00    -0.04    -0.06     0.27    -0.22    -5.00    -4.47     0.33    -0.35    -0.05    -0.04    -0.20     0.20     0.00   -47.97
    -5.00     0.00 -1000.00    -0.04    -0.02     0.27    -0.32    -5.00    -5.50     0.33    -0.31    -0.05    -0.06    -0.20     0.19     0.00    44.56
   -10.00  1000.00     0.00    -0.05    -0.07     0.50    -0.46   -10.32   -10.00     0.16    -0.17    -0.11    -0.10    -0.19     0.20    28.60     0.00
   -10.00 -1000.00     0.00    -0.09    -0.07     0.43    -0.46    -9.66   -10.00     0.18    -0.17    -0.10    -0.10    -0.20     0.20   -30.79     0.00
   -10.00     0.00  1000.00    -0.07    -0.09     0.46    -0.43   -10.00    -9.66     0.17    -0.18    -0.10    -0.10    -0.20     0.20     0.00   -30.79
   -10.00     0.00 -1000.00    -0.07    -0.05     0.46    -0.50   -10.00   -10.32     0.17    -0.16    -0.10    -0.11    -0.20     0.19     0.00    28.60
   -15.00  1000.00     0.00    -0.09    -0.11     0.60    -0.57   -15.15   -15.01     0.01    -0.01    -0.16    -0.15    -0.19     0.20    12.63     0.00
   -15.00 -1000.00     0.00    -0.13    -0.11     0.54    -0.57   -14.85   -15.01     0.02    -0.01    -0.15    -0.15    -0.20     0.20   -13.60     0.00
   -15.00     0.00  1000.00    -0.11    -0.13     0.57    -0.54   -15.01   -14.85     0.01    -0.02    -0.15    -0.15    -0.20     0.20     0.00   -13.60
   -15.00     0.00 -1000.00    -0.11    -0.09     0.57    -0.60   -15.01   -15.15     0.01    -0.01    -0.15    -0.16    -0.20     0.19     0.00    12.63
   -20.00  1000.00     0.00    -0.13    -0.15     0.62    -0.59   -19.97   -20.01    -0.14     0.14    -0.21    -0.20    -0.19     0.20    -3.38     0.00
   -20.00 -1000.00     0.00    -0.17    -0.15     0.57    -0.59   -20.05   -20.01    -0.14     0.14    -0.20    -0.20    -0.20     0.20     3.64     0.00
   -20.00     0.00  1000.00    -0.15    -0.17     0.59    -0.57   -20.01   -20.05    -0.14     0.14    -0.20    -0.20    -0.20     0.20     0.00     3.64
   -20.00     0.00 -1000.00    -0.15    -0.13     0.59    -0.62   -20.01   -19.97    -0.14     0.14    -0.20    -0.21    -0.20     0.19     0.00    -3.38
   -25.00  1000.00     0.00    -0.16    -0.19     0.56    -0.53   -24.80   -25.01    -0.28     0.28    -0.26    -0.26    -0.19     0.20   -19.43     0.00
   -25.00 -1000.00     0.00    -0.21    -0.19     0.50    -0.53   -25.25   -25.01    -0.29     0.28    -0.26    -0.26    -0.20     0.20    20.93     0.00
   -25.00     0.00  1000.00    -0.19    -0.21     0.53    -0.50   -25.01   -25.25    -0.28     0.29    -0.26    -0.26    -0.20     0.20     0.00    20.93
   -25.00     0.00 -1000.00    -0.19    -0.16     0.53    -0.56   -25.01   -24.80    -0.28     0.28    -0.26    -0.26    -0.20     0.19     0.00   -19.43
   -30.00  1000.00     0.00    -0.20    -0.22     0.43    -0.39   -29.62   -30.02    -0.41     0.42    -0.31    -0.31    -0.19     0.20   -35.54     0.00
   -30.00 -1000.00     0.00    -0.25    -0.22     0.35    -0.39   -30.45   -30.02    -0.43     0.42    -0.31    -0.31    -0.20     0.20    38.29     0.00
   -30.00     0.00  1000.00    -0.22    -0.25     0.39    -0.35   -30.02   -30.45    -0.42     0.43    -0.31    -0.31    -0.20     0.20     0.00    38.29
   -30.00     0.00 -1000.00    -0.22    -0.20     0.39    -0.43   -30.02   -29.62    -0.42     0.41    -0.31    -0.31    -0.20     0.19     0.00   -35.54
