
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.18     0.10    -2.60     1.19    24.98    13.90     1.95    -1.51     0.25     0.14     0.00     0.00     0.00   998.51
    30.00  1000.00     0.00     0.30     0.22    -5.38     3.37    40.99    29.97     2.65    -2.16     0.41     0.30    -0.01     0.01  -994.28     0.00
    30.00 -1000.00     0.00     0.14     0.22    -1.78     3.37    18.90    29.97     1.70    -2.16     0.19     0.30     0.00     0.01   997.87     0.00
    30.00     0.00  1000.00     0.22     0.30    -3.37     5.38    29.97    40.99     2.16    -2.65     0.30     0.41    -0.01     0.01     0.00  -994.28
    30.00     0.00 -1000.00     0.22     0.14    -3.37     1.78    29.97    18.90     2.16    -1.70     0.30     0.19    -0.01     0.00     0.00   997.87
    -5.00  1000.00     0.00     0.05    -0.04    -0.44    -0.27     6.10    -5.00     1.22    -0.83     0.06    -0.05     0.00     0.00  -999.40     0.00
    -5.00 -1000.00     0.00    -0.12    -0.04     0.58    -0.27   -16.13    -5.00     0.48    -0.83    -0.16    -0.05     0.00     0.00  1001.26     0.00
    -5.00     0.00  1000.00    -0.04     0.05     0.27     0.44    -5.00     6.10     0.83    -1.22    -0.05     0.06     0.00     0.00     0.00  -999.40
    -5.00     0.00 -1000.00    -0.04    -0.12     0.27    -0.58    -5.00   -16.13     0.83    -0.48    -0.05    -0.16     0.00     0.00     0.00  1001.26
   -10.00  1000.00     0.00     0.01    -0.07    -0.07    -0.46     1.11   -10.00     1.04    -0.67     0.01    -0.10     0.00     0.00  -999.90     0.00
   -10.00 -1000.00     0.00    -0.16    -0.07     0.59    -0.46   -21.14   -10.00     0.33    -0.67    -0.21    -0.10     0.00     0.00  1001.56     0.00
   -10.00     0.00  1000.00    -0.07     0.01     0.46     0.07   -10.00     1.11     0.67    -1.04    -0.10     0.01     0.00     0.00     0.00  -999.90
   -10.00     0.00 -1000.00    -0.07    -0.16     0.46    -0.59   -10.00   -21.14     0.67    -0.33    -0.10    -0.21     0.00     0.00     0.00  1001.56
   -15.00  1000.00     0.00    -0.03    -0.11     0.22    -0.57    -3.89   -15.01     0.87    -0.51    -0.04    -0.15     0.00     0.00 -1000.35     0.00
   -15.00 -1000.00     0.00    -0.19    -0.11     0.51    -0.57   -26.15   -15.01     0.18    -0.51    -0.27    -0.15     0.00     0.00  1001.82     0.00
   -15.00     0.00  1000.00    -0.11    -0.03     0.57    -0.22   -15.01    -3.89     0.51    -0.87    -0.15    -0.04     0.00     0.00     0.00 -1000.35
   -15.00     0.00 -1000.00    -0.11    -0.19     0.57    -0.51   -15.01   -26.15     0.51    -0.18    -0.15    -0.27     0.00     0.00     0.00  1001.82
   -20.00  1000.00     0.00    -0.07    -0.15     0.43    -0.59    -8.88   -20.01     0.70    -0.36    -0.09    -0.20     0.00     0.00 -1000.75     0.00
   -20.00 -1000.00     0.00    -0.23    -0.15     0.35    -0.59   -31.16   -20.01     0.05    -0.36    -0.32    -0.20     0.01     0.00  1002.05     0.00
   -20.00     0.00  1000.00    -0.15    -0.07     0.59    -0.43   -20.01    -8.88     0.36    -0.70    -0.20    -0.09     0.00     0.00     0.00 -1000.75
   -20.00     0.00 -1000.00    -0.15    -0.23     0.59    -0.35   -20.01   -31.16     0.36    -0.05    -0.20    -0.32     0.00    -0.01     0.00  1002.05
   -25.00  1000.00     0.00    -0.10    -0.19     0.55    -0.53   -13.88   -25.01     0.55    -0.22    -0.14    -0.25     0.00     0.00 -1001.11     0.00
   -25.00 -1000.00     0.00    -0.27    -0.19     0.10    -0.53   -36.16   -25.01    -0.08    -0.22    -0.37    -0.25     0.01     0.00  1002.24     0.00
   -25.00     0.00  1000.00    -0.19    -0.10     0.53    -0.55   -25.01   -13.88     0.22    -0.55    -0.25    -0.14     0.00     0.00     0.00 -1001.11
   -25.00     0.00 -1000.00    -0.19    -0.27     0.53    -0.10   -25.01   -36.16     0.22     0.08    -0.25    -0.37     0.00    -0.01     0.00  1002.24
   -30.00  1000.00     0.00    -0.14    -0.22     0.59    -0.39   -18.88   -30.02     0.39    -0.08    -0.19    -0.30     0.00    -0.01 -1001.43     0.00
   -30.00 -1000.00     0.00    -0.31    -0.22    -0.23    -0.39   -41.17   -30.02    -0.21    -0.08    -0.42    -0.30     0.01    -0.01  1002.39     0.00
   -30.00     0.00  1000.00    -0.22    -0.14     0.39    -0.59   -30.02   -18.88     0.08    -0.39    -0.30    -0.19     0.01     0.00     0.00 -1001.43
   -30.00     0.00 -1000.00    -0.22    -0.31     0.39     0.23   -30.02   -41.17     0.08     0.21    -0.30    -0.42     0.01    -0.01     0.00  1002.39
