
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00    -0.32    -0.56    -2.89     2.92    24.98    25.12     0.92    -0.92    -0.41    -0.40     0.01    -0.10     0.00   -13.10
    30.00  1000.00     0.00    -0.14    -0.38    -3.63     3.67    29.82    29.97     1.13    -1.12    -0.51    -0.50    -0.09    -0.01    13.16     0.00
    30.00 -1000.00     0.00    -0.63    -0.38    -3.71     3.67    30.12    29.97     1.12    -1.12    -0.48    -0.50     0.10    -0.01   -13.22     0.00
    30.00     0.00  1000.00    -0.38    -0.14    -3.67     3.63    29.97    29.82     1.12    -1.13    -0.50    -0.51     0.01     0.09     0.00    13.16
    30.00     0.00 -1000.00    -0.38    -0.63    -3.67     3.71    29.97    30.12     1.12    -1.12    -0.50    -0.48     0.01    -0.10     0.00   -13.22
    -5.00  1000.00     0.00     0.30     0.06     0.40    -0.37    -5.14    -5.00    -0.17     0.17     0.07     0.08    -0.09     0.00    12.28     0.00
    -5.00 -1000.00     0.00    -0.18     0.06     0.35    -0.37    -4.86    -5.00    -0.18     0.17     0.10     0.08     0.09     0.00   -12.33     0.00
    -5.00     0.00  1000.00     0.06     0.30     0.37    -0.40    -5.00    -5.14    -0.17     0.17     0.08     0.07     0.00     0.09     0.00    12.28
    -5.00     0.00 -1000.00     0.06    -0.18     0.37    -0.35    -5.00    -4.86    -0.17     0.18     0.08     0.10     0.00    -0.09     0.00   -12.33
   -10.00  1000.00     0.00     0.36     0.12     0.70    -0.68   -10.14   -10.00    -0.33     0.34     0.15     0.17    -0.09     0.00    12.15     0.00
   -10.00 -1000.00     0.00    -0.12     0.12     0.66    -0.68    -9.87   -10.00    -0.34     0.34     0.19     0.17     0.09     0.00   -12.20     0.00
   -10.00     0.00  1000.00     0.12     0.36     0.68    -0.70   -10.00   -10.14    -0.34     0.33     0.17     0.15     0.00     0.09     0.00    12.15
   -10.00     0.00 -1000.00     0.12    -0.12     0.68    -0.66   -10.00    -9.87    -0.34     0.34     0.17     0.19     0.00    -0.09     0.00   -12.20
   -15.00  1000.00     0.00     0.42     0.18     0.94    -0.91   -15.14   -15.01    -0.49     0.50     0.23     0.25    -0.09     0.00    12.01     0.00
   -15.00 -1000.00     0.00    -0.06     0.18     0.89    -0.91   -14.87   -15.01    -0.50     0.50     0.27     0.25     0.10     0.00   -12.07     0.00
   -15.00     0.00  1000.00     0.18     0.42     0.91    -0.94   -15.01   -15.14    -0.50     0.49     0.25     0.23     0.00     0.09     0.00    12.01
   -15.00     0.00 -1000.00     0.18    -0.06     0.91    -0.89   -15.01   -14.87    -0.50     0.50     0.25     0.27     0.00    -0.10     0.00   -12.07
   -20.00  1000.00     0.00     0.48     0.24     1.10    -1.08   -20.14   -20.01    -0.65     0.65     0.32     0.34    -0.09     0.00    11.88     0.00
   -20.00 -1000.00     0.00     0.00     0.24     1.07    -1.08   -19.88   -20.01    -0.66     0.65     0.35     0.34     0.10     0.00   -11.93     0.00
   -20.00     0.00  1000.00     0.24     0.48     1.08    -1.10   -20.01   -20.14    -0.65     0.65     0.34     0.32     0.00     0.09     0.00    11.88
   -20.00     0.00 -1000.00     0.24     0.00     1.08    -1.07   -20.01   -19.88    -0.65     0.66     0.34     0.35     0.00    -0.10     0.00   -11.93
   -25.00  1000.00     0.00     0.54     0.30     1.20    -1.19   -25.15   -25.02    -0.80     0.81     0.40     0.42    -0.09    -0.01    11.74     0.00
   -25.00 -1000.00     0.00     0.06     0.30     1.17    -1.19   -24.89   -25.02    -0.81     0.81     0.44     0.42     0.10    -0.01   -11.79     0.00
   -25.00     0.00  1000.00     0.30     0.54     1.19    -1.20   -25.02   -25.15    -0.81     0.80     0.42     0.40     0.01     0.09     0.00    11.74
   -25.00     0.00 -1000.00     0.30     0.06     1.19    -1.17   -25.02   -24.89    -0.81     0.81     0.42     0.44     0.01    -0.10     0.00   -11.79
   -30.00  1000.00     0.00     0.60     0.36     1.23    -1.22   -30.15   -30.03    -0.95     0.95     0.49     0.51    -0.08    -0.01    11.61     0.00
   -30.00 -1000.00     0.00     0.12     0.36     1.21    -1.22   -29.90   -30.03    -0.96     0.95     0.53     0.51     0.10    -0.01   -11.65     0.00
   -30.00     0.00  1000.00     0.36     0.60     1.22    -1.23   -30.03   -30.15    -0.95     0.95     0.51     0.49     0.01     0.08     0.00    11.61
   -30.00     0.00 -1000.00     0.36     0.12     1.22    -1.21   -30.03   -29.90    -0.95     0.96     0.51     0.53     0.01    -0.10     0.00   -11.65
