
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.18     0.20    -2.60     2.36    24.98    23.42     1.95    -1.88     0.25     0.23     0.00     0.00     0.00   140.36
    30.00  1000.00     0.00     0.23     0.22    -3.07     3.37    28.23    29.97     2.09    -2.16     0.28     0.30     0.00     0.01   156.43     0.00
    30.00 -1000.00     0.00     0.21     0.22    -3.71     3.37    31.84    29.97     2.24    -2.16     0.32     0.30    -0.01     0.01  -168.53     0.00
    30.00     0.00  1000.00     0.22     0.21    -3.37     3.71    29.97    31.84     2.16    -2.24     0.30     0.32    -0.01     0.01     0.00  -168.53
    30.00     0.00 -1000.00     0.22     0.23    -3.37     3.07    29.97    28.23     2.16    -2.09     0.30     0.28    -0.01     0.00     0.00   156.43
    -5.00  1000.00     0.00    -0.02    -0.04     0.32    -0.27    -5.50    -5.00     0.81    -0.83    -0.06    -0.05     0.01     0.00    44.56     0.00
    -5.00 -1000.00     0.00    -0.06    -0.04     0.22    -0.27    -4.47    -5.00     0.85    -0.83    -0.04    -0.05     0.00     0.00   -47.97     0.00
    -5.00     0.00  1000.00    -0.04    -0.06     0.27    -0.22    -5.00    -4.47     0.83    -0.85    -0.05    -0.04     0.00     0.00     0.00   -47.97
    -5.00     0.00 -1000.00    -0.04    -0.02     0.27    -0.32    -5.00    -5.50     0.83    -0.81    -0.05    -0.06     0.00    -0.01     0.00    44.56
   -10.00  1000.00     0.00    -0.05    -0.07     0.50    -0.46   -10.32   -10.00     0.66    -0.67    -0.11    -0.10     0.01     0.00    28.60     0.00
   -10.00 -1000.00     0.00    -0.09    -0.07     0.43    -0.46    -9.66   -10.00     0.68    -0.67    -0.09    -0.10     0.00     0.00   -30.79     0.00
   -10.00     0.00  1000.00    -0.07    -0.09     0.46    -0.43   -10.00    -9.66     0.67    -0.68    -0.10    -0.09     0.00     0.00     0.00   -30.79
   -10.00     0.00 -1000.00    -0.07    -0.05     0.46    -0.50   -10.00   -10.32     0.67    -0.66    -0.10    -0.11     0.00    -0.01     0.00    28.60
   -15.00  1000.00     0.00    -0.09    -0.11     0.60    -0.57   -15.15   -15.01     0.51    -0.51    -0.16    -0.15     0.01     0.00    12.63     0.00
   -15.00 -1000.00     0.00    -0.13    -0.11     0.54    -0.57   -14.85   -15.01     0.52    -0.51    -0.15    -0.15     0.00     0.00   -13.60     0.00
   -15.00     0.00  1000.00    -0.11    -0.13     0.57    -0.54   -15.01   -14.85     0.51    -0.52    -0.15    -0.15     0.00     0.00     0.00   -13.60
   -15.00     0.00 -1000.00    -0.11    -0.09     0.57    -0.60   -15.01   -15.15     0.51    -0.51    -0.15    -0.16     0.00    -0.01     0.00    12.63
   -20.00  1000.00     0.00    -0.13    -0.15     0.62    -0.59   -19.97   -20.01     0.36    -0.36    -0.21    -0.20     0.01     0.00    -3.38     0.00
   -20.00 -1000.00     0.00    -0.17    -0.15     0.57    -0.59   -20.05   -20.01     0.36    -0.36    -0.20    -0.20     0.00     0.00     3.64     0.00
   -20.00     0.00  1000.00    -0.15    -0.17     0.59    -0.57   -20.01   -20.05     0.36    -0.36    -0.20    -0.20     0.00     0.00     0.00     3.64
   -20.00     0.00 -1000.00    -0.15    -0.13     0.59    -0.62   -20.01   -19.97     0.36    -0.36    -0.20    -0.21     0.00    -0.01     0.00    -3.38
   -25.00  1000.00     0.00    -0.16    -0.19     0.56    -0.53   -24.80   -25.01     0.22    -0.22    -0.25    -0.25     0.01     0.00   -19.43     0.00
   -25.00 -1000.00     0.00    -0.21    -0.19     0.50    -0.53   -25.25   -25.01     0.21    -0.22    -0.25    -0.25     0.00     0.00    20.93     0.00
   -25.00     0.00  1000.00    -0.19    -0.21     0.53    -0.50   -25.01   -25.25     0.22    -0.21    -0.25    -0.25     0.00     0.00     0.00    20.93
   -25.00     0.00 -1000.00    -0.19    -0.16     0.53    -0.56   -25.01   -24.80     0.22    -0.22    -0.25    -0.25     0.00    -0.01     0.00   -19.43
   -30.00  1000.00     0.00    -0.20    -0.22     0.43    -0.39   -29.62   -30.02     0.09    -0.08    -0.30    -0.30     0.01    -0.01   -35.54     0.00
   -30.00 -1000.00     0.00    -0.25    -0.22     0.35    -0.39   -30.45   -30.02     0.07    -0.08    -0.31    -0.30     0.00    -0.01    38.29     0.00
   -30.00     0.00  1000.00    -0.22    -0.25     0.39    -0.35   -30.02   -30.45     0.08    -0.07    -0.30    -0.31     0.01     0.00     0.00    38.29
   -30.00     0.00 -1000.00    -0.22    -0.20     0.39    -0.43   -30.02   -29.62     0.08    -0.09    -0.30    -0.30     0.01    -0.01     0.00   -35.54
