
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00  1000.00    -0.32    -0.36    -2.89     3.17    24.98    26.69     0.92    -0.99    -0.41    -0.44     0.01    -0.02     0.00  -154.20
    25.00     0.00 -1000.00    -0.32    -0.28    -2.89     2.62    24.98    23.37     0.92    -0.86    -0.41    -0.38     0.01     0.01     0.00   145.06
    30.00  1000.00     0.00    -0.35    -0.38    -3.36     3.67    28.21    29.97     1.05    -1.12    -0.46    -0.50    -0.01    -0.01   158.37     0.00
    30.00 -1000.00     0.00    -0.43    -0.38    -4.00     3.67    31.83    29.97     1.20    -1.12    -0.53    -0.50     0.02    -0.01  -168.38     0.00
    30.00     0.00  1000.00    -0.38    -0.43    -3.67     4.00    29.97    31.83     1.12    -1.20    -0.50    -0.53     0.01    -0.02     0.00  -168.38
    30.00     0.00 -1000.00    -0.38    -0.35    -3.67     3.36    29.97    28.21     1.12    -1.05    -0.50    -0.46     0.01     0.01     0.00   158.37
    -5.00  1000.00     0.00     0.09     0.06     0.44    -0.37    -5.73    -5.00    -0.20     0.17     0.10     0.08    -0.01     0.00    65.80     0.00
    -5.00 -1000.00     0.00     0.04     0.06     0.30    -0.37    -4.22    -5.00    -0.14     0.17     0.07     0.08     0.01     0.00   -69.90     0.00
    -5.00     0.00  1000.00     0.06     0.04     0.37    -0.30    -5.00    -4.22    -0.17     0.14     0.08     0.07     0.00    -0.01     0.00   -69.90
    -5.00     0.00 -1000.00     0.06     0.09     0.37    -0.44    -5.00    -5.73    -0.17     0.20     0.08     0.10     0.00     0.01     0.00    65.80
   -10.00  1000.00     0.00     0.15     0.12     0.73    -0.68   -10.59   -10.00    -0.36     0.34     0.18     0.17    -0.01     0.00    52.65     0.00
   -10.00 -1000.00     0.00     0.10     0.12     0.62    -0.68    -9.38   -10.00    -0.32     0.34     0.15     0.17     0.02     0.00   -55.92     0.00
   -10.00     0.00  1000.00     0.12     0.10     0.68    -0.62   -10.00    -9.38    -0.34     0.32     0.17     0.15     0.00    -0.02     0.00   -55.92
   -10.00     0.00 -1000.00     0.12     0.15     0.68    -0.73   -10.00   -10.59    -0.34     0.36     0.17     0.18     0.00     0.01     0.00    52.65
   -15.00  1000.00     0.00     0.20     0.18     0.96    -0.91   -15.45   -15.01    -0.51     0.50     0.26     0.25    -0.01     0.00    39.50     0.00
   -15.00 -1000.00     0.00     0.16     0.18     0.87    -0.91   -14.54   -15.01    -0.48     0.50     0.24     0.25     0.02     0.00   -41.95     0.00
   -15.00     0.00  1000.00     0.18     0.16     0.91    -0.87   -15.01   -14.54    -0.50     0.48     0.25     0.24     0.00    -0.02     0.00   -41.95
   -15.00     0.00 -1000.00     0.18     0.20     0.91    -0.96   -15.01   -15.45    -0.50     0.51     0.25     0.26     0.00     0.01     0.00    39.50
   -20.00  1000.00     0.00     0.26     0.24     1.11    -1.08   -20.30   -20.01    -0.66     0.65     0.34     0.34    -0.01     0.00    26.34     0.00
   -20.00 -1000.00     0.00     0.22     0.24     1.05    -1.08   -19.70   -20.01    -0.64     0.65     0.33     0.34     0.02     0.00   -27.98     0.00
   -20.00     0.00  1000.00     0.24     0.22     1.08    -1.05   -20.01   -19.70    -0.65     0.64     0.34     0.33     0.00    -0.02     0.00   -27.98
   -20.00     0.00 -1000.00     0.24     0.26     1.08    -1.11   -20.01   -20.30    -0.65     0.66     0.34     0.34     0.00     0.01     0.00    26.34
   -25.00  1000.00     0.00     0.32     0.30     1.21    -1.19   -25.16   -25.02    -0.81     0.81     0.43     0.42    -0.01    -0.01    13.18     0.00
   -25.00 -1000.00     0.00     0.29     0.30     1.16    -1.19   -24.86   -25.02    -0.80     0.81     0.42     0.42     0.02    -0.01   -14.00     0.00
   -25.00     0.00  1000.00     0.30     0.29     1.19    -1.16   -25.02   -24.86    -0.81     0.80     0.42     0.42     0.01    -0.02     0.00   -14.00
   -25.00     0.00 -1000.00     0.30     0.32     1.19    -1.21   -25.02   -25.16    -0.81     0.81     0.42     0.43     0.01     0.01     0.00    13.18
   -30.00  1000.00     0.00     0.38     0.36     1.24    -1.22   -30.03   -30.03    -0.96     0.95     0.51     0.51     0.00    -0.01     0.00     0.00
   -30.00 -1000.00     0.00     0.35     0.36     1.20    -1.22   -30.03   -30.03    -0.95     0.95     0.51     0.51     0.02    -0.01     0.00     0.00
   -30.00     0.00  1000.00     0.36     0.35     1.22    -1.20   -30.03   -30.03    -0.95     0.95     0.51     0.51     0.01    -0.02     0.00     0.00
   -30.00     0.00 -1000.00     0.36     0.38     1.22    -1.24   -30.03   -30.03    -0.95     0.96     0.51     0.51     0.01     0.00     0.00     0.00
