
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00  1000.00    -0.32    -0.47    -2.89     4.71    24.98    36.01     0.92    -1.37    -0.41    -0.59     0.01    -0.01     0.00  -995.21
    25.00     0.00 -1000.00    -0.32    -0.17    -2.89     1.39    24.98    13.90     0.92    -0.50    -0.41    -0.23     0.01     0.00     0.00   998.39
    30.00  1000.00     0.00    -0.53    -0.38    -5.64     3.67    40.98    29.97     1.58    -1.12    -0.67    -0.50     0.02    -0.01  -994.37     0.00
    30.00 -1000.00     0.00    -0.24    -0.38    -2.03     3.67    18.90    29.97     0.69    -1.12    -0.32    -0.50     0.00    -0.01   997.74     0.00
    30.00     0.00  1000.00    -0.38    -0.53    -3.67     5.64    29.97    40.98     1.12    -1.58    -0.50    -0.67     0.01    -0.02     0.00  -994.37
    30.00     0.00 -1000.00    -0.38    -0.24    -3.67     2.03    29.97    18.90     1.12    -0.69    -0.50    -0.32     0.01     0.00     0.00   997.74
    -5.00  1000.00     0.00    -0.08     0.06    -0.55    -0.37     6.10    -5.00     0.21     0.17    -0.10     0.08     0.00     0.00  -999.33     0.00
    -5.00 -1000.00     0.00     0.20     0.06     0.96    -0.37   -16.14    -5.00    -0.53     0.17     0.27     0.08     0.00     0.00  1001.54     0.00
    -5.00     0.00  1000.00     0.06    -0.08     0.37     0.55    -5.00     6.10    -0.17    -0.21     0.08    -0.10     0.00     0.00     0.00  -999.33
    -5.00     0.00 -1000.00     0.06     0.20     0.37    -0.96    -5.00   -16.14    -0.17     0.53     0.08     0.27     0.00     0.00     0.00  1001.54
   -10.00  1000.00     0.00    -0.01     0.12    -0.09    -0.68     1.11   -10.00     0.04     0.34    -0.02     0.17     0.00     0.00  -999.88     0.00
   -10.00 -1000.00     0.00     0.26     0.12     1.11    -0.68   -21.15   -10.00    -0.69     0.34     0.36     0.17     0.01     0.00  1001.95     0.00
   -10.00     0.00  1000.00     0.12    -0.01     0.68     0.09   -10.00     1.11    -0.34    -0.04     0.17    -0.02     0.00     0.00     0.00  -999.88
   -10.00     0.00 -1000.00     0.12     0.26     0.68    -1.11   -10.00   -21.15    -0.34     0.69     0.17     0.36     0.00    -0.01     0.00  1001.95
   -15.00  1000.00     0.00     0.05     0.18     0.30    -0.91    -3.88   -15.01    -0.13     0.50     0.06     0.25     0.00     0.00 -1000.40     0.00
   -15.00 -1000.00     0.00     0.31     0.18     1.20    -0.91   -26.16   -15.01    -0.84     0.50     0.44     0.25     0.01     0.00  1002.34     0.00
   -15.00     0.00  1000.00     0.18     0.05     0.91    -0.30   -15.01    -3.88    -0.50     0.13     0.25     0.06     0.00     0.00     0.00 -1000.40
   -15.00     0.00 -1000.00     0.18     0.31     0.91    -1.20   -15.01   -26.16    -0.50     0.84     0.25     0.44     0.00    -0.01     0.00  1002.34
   -20.00  1000.00     0.00     0.11     0.24     0.62    -1.08    -8.88   -20.01    -0.30     0.65     0.15     0.34     0.00     0.00 -1000.88     0.00
   -20.00 -1000.00     0.00     0.37     0.24     1.22    -1.08   -31.17   -20.01    -0.99     0.65     0.53     0.34     0.01     0.00  1002.70     0.00
   -20.00     0.00  1000.00     0.24     0.11     1.08    -0.62   -20.01    -8.88    -0.65     0.30     0.34     0.15     0.00     0.00     0.00 -1000.88
   -20.00     0.00 -1000.00     0.24     0.37     1.08    -1.22   -20.01   -31.17    -0.65     0.99     0.34     0.53     0.00    -0.01     0.00  1002.70
   -25.00  1000.00     0.00     0.17     0.30     0.87    -1.19   -13.88   -25.02    -0.46     0.81     0.23     0.42     0.00    -0.01 -1001.34     0.00
   -25.00 -1000.00     0.00     0.43     0.30     1.17    -1.19   -36.18   -25.02    -1.13     0.81     0.62     0.42     0.02    -0.01  1003.03     0.00
   -25.00     0.00  1000.00     0.30     0.17     1.19    -0.87   -25.02   -13.88    -0.81     0.46     0.42     0.23     0.01     0.00     0.00 -1001.34
   -25.00     0.00 -1000.00     0.30     0.43     1.19    -1.17   -25.02   -36.18    -0.81     1.13     0.42     0.62     0.01    -0.02     0.00  1003.03
   -30.00  1000.00     0.00     0.23     0.36     1.05    -1.22   -18.88   -30.03    -0.62     0.95     0.32     0.51     0.00    -0.01 -1001.76     0.00
   -30.00 -1000.00     0.00     0.49     0.36     1.05    -1.22   -41.19   -30.03    -1.27     0.95     0.70     0.51     0.02    -0.01  1003.34     0.00
   -30.00     0.00  1000.00     0.36     0.23     1.22    -1.05   -30.03   -18.88    -0.95     0.62     0.51     0.32     0.01     0.00     0.00 -1001.76
   -30.00     0.00 -1000.00     0.36     0.49     1.22    -1.05   -30.03   -41.19    -0.95     1.27     0.51     0.70     0.01    -0.02     0.00  1003.34
