
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.18     0.10    -2.60     1.19    24.98    13.90     1.45    -1.01     0.25     0.14    -0.20     0.20     0.00   998.51
    30.00  1000.00     0.00     0.30     0.22    -5.38     3.37    40.99    29.97     2.15    -1.66     0.42     0.31    -0.20     0.20  -994.28     0.00
    30.00 -1000.00     0.00     0.14     0.22    -1.78     3.37    18.90    29.97     1.20    -1.66     0.19     0.31    -0.20     0.20   997.87     0.00
    30.00     0.00  1000.00     0.22     0.30    -3.37     5.38    29.97    40.99     1.66    -2.15     0.31     0.42    -0.20     0.20     0.00  -994.28
    30.00     0.00 -1000.00     0.22     0.14    -3.37     1.78    29.97    18.90     1.66    -1.20     0.31     0.19    -0.20     0.20     0.00   997.87
    -5.00  1000.00     0.00     0.05    -0.04    -0.44    -0.27     6.10    -5.00     0.72    -0.33     0.06    -0.05    -0.20     0.20  -999.40     0.00
    -5.00 -1000.00     0.00    -0.12    -0.04     0.58    -0.27   -16.13    -5.00    -0.02    -0.33    -0.17    -0.05    -0.20     0.20  1001.26     0.00
    -5.00     0.00  1000.00    -0.04     0.05     0.27     0.44    -5.00     6.10     0.33    -0.72    -0.05     0.06    -0.20     0.20     0.00  -999.40
    -5.00     0.00 -1000.00    -0.04    -0.12     0.27    -0.58    -5.00   -16.13     0.33     0.02    -0.05    -0.17    -0.20     0.20     0.00  1001.26
   -10.00  1000.00     0.00     0.01    -0.07    -0.07    -0.46     1.11   -10.00     0.54    -0.17     0.01    -0.10    -0.20     0.20  -999.90     0.00
   -10.00 -1000.00     0.00    -0.16    -0.07     0.59    -0.46   -21.14   -10.00    -0.17    -0.17    -0.22    -0.10    -0.20     0.20  1001.56     0.00
   -10.00     0.00  1000.00    -0.07     0.01     0.46     0.07   -10.00     1.11     0.17    -0.54    -0.10     0.01    -0.20     0.20     0.00  -999.90
   -10.00     0.00 -1000.00    -0.07    -0.16     0.46    -0.59   -10.00   -21.14     0.17     0.17    -0.10    -0.22    -0.20     0.20     0.00  1001.56
   -15.00  1000.00     0.00    -0.03    -0.11     0.22    -0.57    -3.89   -15.01     0.37    -0.01    -0.04    -0.15    -0.20     0.20 -1000.35     0.00
   -15.00 -1000.00     0.00    -0.19    -0.11     0.51    -0.57   -26.15   -15.01    -0.32    -0.01    -0.27    -0.15    -0.20     0.20  1001.82     0.00
   -15.00     0.00  1000.00    -0.11    -0.03     0.57    -0.22   -15.01    -3.89     0.01    -0.37    -0.15    -0.04    -0.20     0.20     0.00 -1000.35
   -15.00     0.00 -1000.00    -0.11    -0.19     0.57    -0.51   -15.01   -26.15     0.01     0.32    -0.15    -0.27    -0.20     0.20     0.00  1001.82
   -20.00  1000.00     0.00    -0.07    -0.15     0.43    -0.59    -8.88   -20.01     0.20     0.14    -0.09    -0.20    -0.20     0.20 -1000.75     0.00
   -20.00 -1000.00     0.00    -0.23    -0.15     0.35    -0.59   -31.16   -20.01    -0.45     0.14    -0.32    -0.20    -0.20     0.20  1002.05     0.00
   -20.00     0.00  1000.00    -0.15    -0.07     0.59    -0.43   -20.01    -8.88    -0.14    -0.20    -0.20    -0.09    -0.20     0.20     0.00 -1000.75
   -20.00     0.00 -1000.00    -0.15    -0.23     0.59    -0.35   -20.01   -31.16    -0.14     0.45    -0.20    -0.32    -0.20     0.20     0.00  1002.05
   -25.00  1000.00     0.00    -0.10    -0.19     0.55    -0.53   -13.88   -25.01     0.05     0.28    -0.14    -0.26    -0.20     0.20 -1001.11     0.00
   -25.00 -1000.00     0.00    -0.27    -0.19     0.10    -0.53   -36.16   -25.01    -0.58     0.28    -0.37    -0.26    -0.20     0.20  1002.24     0.00
   -25.00     0.00  1000.00    -0.19    -0.10     0.53    -0.55   -25.01   -13.88    -0.28    -0.05    -0.26    -0.14    -0.20     0.20     0.00 -1001.11
   -25.00     0.00 -1000.00    -0.19    -0.27     0.53    -0.10   -25.01   -36.16    -0.28     0.58    -0.26    -0.37    -0.20     0.20     0.00  1002.24
   -30.00  1000.00     0.00    -0.14    -0.22     0.59    -0.39   -18.88   -30.02    -0.11     0.42    -0.19    -0.31    -0.20     0.20 -1001.43     0.00
   -30.00 -1000.00     0.00    -0.31    -0.22    -0.23    -0.39   -41.17   -30.02    -0.71     0.42    -0.42    -0.31    -0.20     0.20  1002.39     0.00
   -30.00     0.00  1000.00    -0.22    -0.14     0.39    -0.59   -30.02   -18.88    -0.42     0.11    -0.31    -0.19    -0.20     0.20     0.00 -1001.43
   -30.00     0.00 -1000.00    -0.22    -0.31     0.39     0.23   -30.02   -41.17    -0.42     0.71    -0.31    -0.42    -0.20     0.20     0.00  1002.39
