
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            GnistRear                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.00    -0.20    -2.95     2.98    24.98    24.98     1.72    -1.73     0.00     0.01     0.00    -0.05     0.00    -0.03
    30.00  1000.00     0.00     0.20     0.00    -3.77     3.79    29.97    29.97     1.98    -1.99    -0.01     0.00    -0.05     0.00    -0.03     0.00
    30.00 -1000.00     0.00    -0.20     0.00    -3.81     3.79    29.97    29.97     1.99    -1.99     0.01     0.00     0.05     0.00    -0.03     0.00
    30.00     0.00  1000.00     0.00     0.20    -3.79     3.77    29.97    29.97     1.99    -1.98     0.00    -0.01     0.00     0.05     0.00    -0.03
    30.00     0.00 -1000.00     0.00    -0.20    -3.79     3.81    29.97    29.97     1.99    -1.99     0.00     0.01     0.00    -0.05     0.00    -0.03
    35.00  1000.00     0.00     0.21     0.00    -4.69     4.71    34.96    34.96     2.25    -2.25    -0.01     0.00    -0.05     0.00    -0.03     0.00
    35.00 -1000.00     0.00    -0.21     0.00    -4.73     4.71    34.96    34.96     2.26    -2.25     0.01     0.00     0.05     0.00    -0.03     0.00
    35.00     0.00  1000.00     0.00     0.21    -4.71     4.69    34.96    34.96     2.25    -2.25     0.00    -0.01     0.00     0.05     0.00    -0.03
    35.00     0.00 -1000.00     0.00    -0.21    -4.71     4.73    34.96    34.96     2.25    -2.26     0.00     0.01     0.00    -0.05     0.00    -0.03
    40.00  1000.00     0.00     0.21     0.00    -5.69     5.71    39.94    39.94     2.52    -2.53    -0.01     0.00    -0.05     0.00    -0.03     0.00
    40.00 -1000.00     0.00    -0.21     0.00    -5.73     5.71    39.94    39.94     2.54    -2.53     0.01     0.00     0.05     0.00    -0.03     0.00
    40.00     0.00  1000.00     0.00     0.21    -5.71     5.69    39.94    39.94     2.53    -2.52     0.00    -0.01     0.00     0.05     0.00    -0.03
    40.00     0.00 -1000.00     0.00    -0.21    -5.71     5.73    39.94    39.94     2.53    -2.54     0.00     0.01     0.00    -0.05     0.00    -0.03
    -5.00  1000.00     0.00     0.20     0.00     0.37    -0.35    -5.00    -5.00     0.26    -0.27    -0.01     0.00    -0.05     0.00    -0.02     0.00
    -5.00 -1000.00     0.00    -0.20     0.00     0.33    -0.35    -5.00    -5.00     0.28    -0.27     0.01     0.00     0.05     0.00    -0.02     0.00
    -5.00     0.00  1000.00     0.00     0.20     0.35    -0.37    -5.00    -5.00     0.27    -0.26     0.00    -0.01     0.00     0.05     0.00    -0.02
    -5.00     0.00 -1000.00     0.00    -0.20     0.35    -0.33    -5.00    -5.00     0.27    -0.28     0.00     0.01     0.00    -0.05     0.00    -0.02
   -10.00  1000.00     0.00     0.20     0.00     0.64    -0.62   -10.01   -10.01     0.04    -0.05    -0.01     0.00    -0.05     0.00    -0.01     0.00
   -10.00 -1000.00     0.00    -0.20     0.00     0.59    -0.62   -10.01   -10.01     0.05    -0.05     0.01     0.00     0.05     0.00    -0.01     0.00
   -10.00     0.00  1000.00     0.00     0.20     0.62    -0.64   -10.01   -10.01     0.05    -0.04     0.00    -0.01     0.00     0.05     0.00    -0.01
   -10.00     0.00 -1000.00     0.00    -0.20     0.62    -0.59   -10.01   -10.01     0.05    -0.05     0.00     0.01     0.00    -0.05     0.00    -0.01
   -15.00  1000.00     0.00     0.20     0.00     0.83    -0.80   -15.01   -15.01    -0.18     0.17    -0.01     0.00    -0.05     0.00    -0.01     0.00
   -15.00 -1000.00     0.00    -0.20     0.00     0.78    -0.80   -15.01   -15.01    -0.16     0.17     0.01     0.00     0.05     0.00    -0.01     0.00
   -15.00     0.00  1000.00     0.00     0.20     0.80    -0.83   -15.01   -15.01    -0.17     0.18     0.00    -0.01     0.00     0.05     0.00    -0.01
   -15.00     0.00 -1000.00     0.00    -0.20     0.80    -0.78   -15.01   -15.01    -0.17     0.16     0.00     0.01     0.00    -0.05     0.00    -0.01
   -20.00  1000.00     0.00     0.20     0.00     0.93    -0.91   -20.02   -20.02    -0.39     0.39    -0.01     0.00    -0.05     0.00    -0.01     0.00
   -20.00 -1000.00     0.00    -0.20     0.00     0.89    -0.91   -20.02   -20.02    -0.38     0.39     0.01     0.00     0.05     0.00    -0.01     0.00
   -20.00     0.00  1000.00     0.00     0.20     0.91    -0.93   -20.02   -20.02    -0.39     0.39     0.00    -0.01     0.00     0.05     0.00    -0.01
   -20.00     0.00 -1000.00     0.00    -0.20     0.91    -0.89   -20.02   -20.02    -0.39     0.38     0.00     0.01     0.00    -0.05     0.00    -0.01
   -25.00  1000.00     0.00     0.20     0.00     0.96    -0.94   -25.03   -25.03    -0.60     0.60    -0.01     0.00    -0.05     0.00    -0.01     0.00
   -25.00 -1000.00     0.00    -0.20     0.00     0.91    -0.94   -25.03   -25.03    -0.59     0.60     0.01     0.00     0.05     0.00    -0.01     0.00
   -25.00     0.00  1000.00     0.00     0.20     0.94    -0.96   -25.03   -25.03    -0.60     0.60     0.00    -0.01     0.00     0.05     0.00    -0.01
   -25.00     0.00 -1000.00     0.00    -0.20     0.94    -0.91   -25.03   -25.03    -0.60     0.59     0.00     0.01     0.00    -0.05     0.00    -0.01
   -30.00  1000.00     0.00     0.20     0.00     0.90    -0.88   -30.04   -30.04    -0.81     0.80    -0.01     0.00    -0.05     0.00    -0.01     0.00
   -30.00 -1000.00     0.00    -0.20     0.00     0.86    -0.88   -30.04   -30.04    -0.79     0.80     0.01     0.00     0.05     0.00    -0.01     0.00
   -30.00     0.00  1000.00     0.00     0.20     0.88    -0.90   -30.04   -30.04    -0.80     0.81     0.00    -0.01     0.00     0.05     0.00    -0.01
   -30.00     0.00 -1000.00     0.00    -0.20     0.88    -0.86   -30.04   -30.04    -0.80     0.79     0.00     0.01     0.00    -0.05     0.00    -0.01
   -35.00  1000.00     0.00     0.20     0.00     0.77    -0.75   -35.05   -35.05    -1.01     1.00    -0.01     0.00    -0.05     0.00     0.00     0.00
   -35.00 -1000.00     0.00    -0.20     0.00     0.72    -0.75   -35.05   -35.05    -0.99     1.00     0.01     0.00     0.05     0.00     0.00     0.00
   -35.00     0.00  1000.00     0.00     0.20     0.75    -0.77   -35.05   -35.05    -1.00     1.01     0.00    -0.01     0.00     0.05     0.00     0.00
   -35.00     0.00 -1000.00     0.00    -0.20     0.75    -0.72   -35.05   -35.05    -1.00     0.99     0.00     0.01     0.00    -0.05     0.00     0.00
   -40.00  1000.00     0.00     0.20     0.00     0.55    -0.53   -40.07   -40.07    -1.21     1.20    -0.01     0.00    -0.06     0.00     0.00     0.00
   -40.00 -1000.00     0.00    -0.20     0.00     0.51    -0.53   -40.07   -40.07    -1.19     1.20     0.01     0.00     0.06     0.00     0.00     0.00
   -40.00     0.00  1000.00     0.00     0.20     0.53    -0.55   -40.07   -40.07    -1.20     1.21     0.00    -0.01     0.00     0.06     0.00     0.00
   -40.00     0.00 -1000.00     0.00    -0.20     0.53    -0.51   -40.07   -40.07    -1.20     1.19     0.00     0.01     0.00    -0.06     0.00     0.00
