
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            gnistFront                                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.00     0.02    -2.18     2.05    24.99    24.14     1.37    -1.34     0.00     0.00     0.01     0.01     0.00   119.84
    30.00  1000.00     0.00     0.01    -0.01    -2.67     2.83    29.03    29.99     1.52    -1.56     0.00     0.00     0.00    -0.02   133.65     0.00
    30.00 -1000.00     0.00    -0.04    -0.01    -2.99     2.83    30.98    29.99     1.60    -1.56    -0.01     0.00     0.03    -0.02  -139.17     0.00
    30.00     0.00  1000.00    -0.01    -0.04    -2.83     2.99    29.99    30.98     1.56    -1.60     0.00    -0.01     0.02    -0.03     0.00  -139.17
    30.00     0.00 -1000.00    -0.01     0.01    -2.83     2.67    29.99    29.03     1.56    -1.52     0.00     0.00     0.02     0.00     0.00   133.65
    35.00  1000.00     0.00     0.00    -0.03    -3.36     3.54    33.93    34.98     1.71    -1.75     0.00     0.00     0.02    -0.03   147.50     0.00
    35.00 -1000.00     0.00    -0.06    -0.03    -3.73     3.54    36.08    34.98     1.80    -1.75    -0.01     0.00     0.05    -0.03  -153.61     0.00
    35.00     0.00  1000.00    -0.03    -0.06    -3.54     3.73    34.98    36.08     1.75    -1.80     0.00    -0.01     0.03    -0.05     0.00  -153.61
    35.00     0.00 -1000.00    -0.03     0.00    -3.54     3.36    34.98    33.93     1.75    -1.71     0.00     0.00     0.03    -0.02     0.00   147.50
    40.00  1000.00     0.00    -0.01    -0.04    -4.12     4.33    38.82    39.97     1.91    -1.95     0.00    -0.01     0.04    -0.05   161.39     0.00
    40.00 -1000.00     0.00    -0.07    -0.04    -4.56     4.33    41.17    39.97     2.00    -1.95    -0.01    -0.01     0.07    -0.05  -168.10     0.00
    40.00     0.00  1000.00    -0.04    -0.07    -4.33     4.56    39.97    41.17     1.95    -2.00    -0.01    -0.01     0.05    -0.07     0.00  -168.10
    40.00     0.00 -1000.00    -0.04    -0.01    -4.33     4.12    39.97    38.82     1.95    -1.91    -0.01     0.00     0.05    -0.04     0.00   161.39
    -5.00  1000.00     0.00     0.01    -0.01     0.26    -0.23    -5.27    -5.00     0.33    -0.34     0.00     0.00     0.00    -0.01    37.36     0.00
    -5.00 -1000.00     0.00    -0.03    -0.01     0.19    -0.23    -4.72    -5.00     0.35    -0.34     0.00     0.00     0.02    -0.01   -38.89     0.00
    -5.00     0.00  1000.00    -0.01    -0.03     0.23    -0.19    -5.00    -4.72     0.34    -0.35     0.00     0.00     0.01    -0.02     0.00   -38.89
    -5.00     0.00 -1000.00    -0.01     0.01     0.23    -0.26    -5.00    -5.27     0.34    -0.33     0.00     0.00     0.01     0.00     0.00    37.36
   -10.00  1000.00     0.00     0.00    -0.02     0.41    -0.38   -10.17   -10.00     0.18    -0.19     0.00     0.00     0.02    -0.03    23.63     0.00
   -10.00 -1000.00     0.00    -0.04    -0.02     0.35    -0.38    -9.83   -10.00     0.19    -0.19    -0.01     0.00     0.04    -0.03   -24.59     0.00
   -10.00     0.00  1000.00    -0.02    -0.04     0.38    -0.35   -10.00    -9.83     0.19    -0.19     0.00    -0.01     0.03    -0.04     0.00   -24.59
   -10.00     0.00 -1000.00    -0.02     0.00     0.38    -0.41   -10.00   -10.17     0.19    -0.18     0.00     0.00     0.03    -0.02     0.00    23.63
   -15.00  1000.00     0.00    -0.01    -0.04     0.49    -0.47   -15.08   -15.01     0.03    -0.04     0.00     0.00     0.03    -0.04     9.87     0.00
   -15.00 -1000.00     0.00    -0.06    -0.04     0.44    -0.47   -14.93   -15.01     0.04    -0.04    -0.01     0.00     0.05    -0.04   -10.27     0.00
   -15.00     0.00  1000.00    -0.04    -0.06     0.47    -0.44   -15.01   -14.93     0.04    -0.04     0.00    -0.01     0.04    -0.05     0.00   -10.27
   -15.00     0.00 -1000.00    -0.04    -0.01     0.47    -0.49   -15.01   -15.08     0.04    -0.03     0.00     0.00     0.04    -0.03     0.00     9.87
   -20.00  1000.00     0.00    -0.03    -0.05     0.50    -0.48   -19.98   -20.01    -0.11     0.11     0.00    -0.01     0.06    -0.07    -3.90     0.00
   -20.00 -1000.00     0.00    -0.08    -0.05     0.46    -0.48   -20.04   -20.01    -0.11     0.11    -0.01    -0.01     0.08    -0.07     4.07     0.00
   -20.00     0.00  1000.00    -0.05    -0.08     0.48    -0.46   -20.01   -20.04    -0.11     0.11    -0.01    -0.01     0.07    -0.08     0.00     4.07
   -20.00     0.00 -1000.00    -0.05    -0.03     0.48    -0.50   -20.01   -19.98    -0.11     0.11    -0.01     0.00     0.07    -0.06     0.00    -3.90
   -25.00  1000.00     0.00    -0.05    -0.08     0.45    -0.43   -24.89   -25.02    -0.25     0.25    -0.01    -0.01     0.08    -0.10   -17.71     0.00
   -25.00 -1000.00     0.00    -0.10    -0.08     0.40    -0.43   -25.15   -25.02    -0.25     0.25    -0.01    -0.01     0.11    -0.10    18.45     0.00
   -25.00     0.00  1000.00    -0.08    -0.10     0.43    -0.40   -25.02   -25.15    -0.25     0.25    -0.01    -0.01     0.10    -0.11     0.00    18.45
   -25.00     0.00 -1000.00    -0.08    -0.05     0.43    -0.45   -25.02   -24.89    -0.25     0.25    -0.01    -0.01     0.10    -0.08     0.00   -17.71
   -30.00  1000.00     0.00    -0.08    -0.10     0.33    -0.30   -29.80   -30.02    -0.38     0.39    -0.01    -0.01     0.12    -0.13   -31.55     0.00
   -30.00 -1000.00     0.00    -0.12    -0.10     0.27    -0.30   -30.26   -30.02    -0.39     0.39    -0.02    -0.01     0.14    -0.13    32.86     0.00
   -30.00     0.00  1000.00    -0.10    -0.12     0.30    -0.27   -30.02   -30.26    -0.39     0.39    -0.01    -0.02     0.13    -0.14     0.00    32.86
   -30.00     0.00 -1000.00    -0.10    -0.08     0.30    -0.33   -30.02   -29.80    -0.39     0.38    -0.01    -0.01     0.13    -0.12     0.00   -31.55
   -35.00  1000.00     0.00    -0.11    -0.13     0.14    -0.10   -34.70   -35.03    -0.51     0.52    -0.01    -0.02     0.15    -0.16   -45.44     0.00
   -35.00 -1000.00     0.00    -0.15    -0.13     0.07    -0.10   -35.37   -35.03    -0.52     0.52    -0.02    -0.02     0.18    -0.16    47.33     0.00
   -35.00     0.00  1000.00    -0.13    -0.15     0.10    -0.07   -35.03   -35.37    -0.52     0.52    -0.02    -0.02     0.16    -0.18     0.00    47.33
   -35.00     0.00 -1000.00    -0.13    -0.11     0.10    -0.14   -35.03   -34.70    -0.52     0.51    -0.02    -0.01     0.16    -0.15     0.00   -45.44
   -40.00  1000.00     0.00    -0.14    -0.16    -0.11     0.16   -39.61   -40.03    -0.64     0.65    -0.02    -0.02     0.19    -0.21   -59.37     0.00
   -40.00 -1000.00     0.00    -0.19    -0.16    -0.21     0.16   -40.48   -40.03    -0.65     0.65    -0.02    -0.02     0.22    -0.21    61.86     0.00
   -40.00     0.00  1000.00    -0.16    -0.19    -0.16     0.21   -40.03   -40.48    -0.65     0.65    -0.02    -0.02     0.21    -0.22     0.00    61.86
   -40.00     0.00 -1000.00    -0.16    -0.14    -0.16     0.11   -40.03   -39.61    -0.65     0.64    -0.02    -0.02     0.21    -0.19     0.00   -59.37
