
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            GnistRear                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    30.00  1000.00     0.00     0.02     0.00    -3.55     3.79    28.75    29.97     1.92    -1.99     0.00     0.00     0.01     0.00   170.98     0.00
    30.00 -1000.00     0.00    -0.02     0.00    -4.04     3.79    31.25    29.97     2.06    -1.99     0.00     0.00    -0.01     0.00  -179.19     0.00
    30.00     0.00  1000.00     0.00    -0.02    -3.79     4.04    29.97    31.25     1.99    -2.06     0.00     0.00     0.00     0.01     0.00  -179.19
    30.00     0.00 -1000.00     0.00     0.02    -3.79     3.55    29.97    28.75     1.99    -1.92     0.00     0.00     0.00    -0.01     0.00   170.98
    35.00  1000.00     0.00     0.02     0.00    -4.43     4.71    33.63    34.96     2.18    -2.25     0.00     0.00     0.01     0.00   186.98     0.00
    35.00 -1000.00     0.00    -0.02     0.00    -5.01     4.71    36.35    34.96     2.33    -2.25     0.00     0.00    -0.01     0.00  -196.00     0.00
    35.00     0.00  1000.00     0.00    -0.02    -4.71     5.01    34.96    36.35     2.25    -2.33     0.00     0.00     0.00     0.01     0.00  -196.00
    35.00     0.00 -1000.00     0.00     0.02    -4.71     4.43    34.96    33.63     2.25    -2.18     0.00     0.00     0.00    -0.01     0.00   186.98
    40.00  1000.00     0.00     0.02     0.00    -5.38     5.71    38.49    39.94     2.45    -2.53     0.00     0.00     0.01     0.00   203.05     0.00
    40.00 -1000.00     0.00    -0.02     0.00    -6.05     5.71    41.45    39.94     2.61    -2.53     0.00     0.00    -0.01     0.00  -212.90     0.00
    40.00     0.00  1000.00     0.00    -0.02    -5.71     6.05    39.94    41.45     2.53    -2.61     0.00     0.00     0.00     0.01     0.00  -212.90
    40.00     0.00 -1000.00     0.00     0.02    -5.71     5.38    39.94    38.49     2.53    -2.45     0.00     0.00     0.00    -0.01     0.00   203.05
    -5.00  1000.00     0.00     0.02     0.00     0.40    -0.35    -5.43    -5.00     0.25    -0.27     0.00     0.00     0.00     0.00    60.25     0.00
    -5.00 -1000.00     0.00    -0.02     0.00     0.30    -0.35    -4.55    -5.00     0.29    -0.27     0.00     0.00     0.00     0.00   -63.09     0.00
    -5.00     0.00  1000.00     0.00    -0.02     0.35    -0.30    -5.00    -4.55     0.27    -0.29     0.00     0.00     0.00     0.00     0.00   -63.09
    -5.00     0.00 -1000.00     0.00     0.02     0.35    -0.40    -5.00    -5.43     0.27    -0.25     0.00     0.00     0.00     0.00     0.00    60.25
   -10.00  1000.00     0.00     0.02     0.00     0.66    -0.62   -10.33   -10.01     0.03    -0.05     0.00     0.00     0.00     0.00    44.51     0.00
   -10.00 -1000.00     0.00    -0.02     0.00     0.58    -0.62    -9.67   -10.01     0.06    -0.05     0.00     0.00     0.00     0.00   -46.61     0.00
   -10.00     0.00  1000.00     0.00    -0.02     0.62    -0.58   -10.01    -9.67     0.05    -0.06     0.00     0.00     0.00     0.00     0.00   -46.61
   -10.00     0.00 -1000.00     0.00     0.02     0.62    -0.66   -10.01   -10.33     0.05    -0.03     0.00     0.00     0.00     0.00     0.00    44.51
   -15.00  1000.00     0.00     0.02     0.00     0.83    -0.80   -15.22   -15.01    -0.18     0.17     0.00     0.00     0.00     0.00    28.76     0.00
   -15.00 -1000.00     0.00    -0.02     0.00     0.77    -0.80   -14.80   -15.01    -0.16     0.17     0.00     0.00     0.00     0.00   -30.11     0.00
   -15.00     0.00  1000.00     0.00    -0.02     0.80    -0.77   -15.01   -14.80    -0.17     0.16     0.00     0.00     0.00     0.00     0.00   -30.11
   -15.00     0.00 -1000.00     0.00     0.02     0.80    -0.83   -15.01   -15.22    -0.17     0.18     0.00     0.00     0.00     0.00     0.00    28.76
   -20.00  1000.00     0.00     0.02     0.00     0.94    -0.91   -20.11   -20.02    -0.39     0.39     0.00     0.00     0.00     0.00    12.99     0.00
   -20.00 -1000.00     0.00    -0.02     0.00     0.88    -0.91   -19.92   -20.02    -0.38     0.39     0.00     0.00     0.00     0.00   -13.60     0.00
   -20.00     0.00  1000.00     0.00    -0.02     0.91    -0.88   -20.02   -19.92    -0.39     0.38     0.00     0.00     0.00     0.00     0.00   -13.60
   -20.00     0.00 -1000.00     0.00     0.02     0.91    -0.94   -20.02   -20.11    -0.39     0.39     0.00     0.00     0.00     0.00     0.00    12.99
   -25.00  1000.00     0.00     0.02     0.00     0.96    -0.94   -25.01   -25.03    -0.60     0.60     0.00     0.00     0.00     0.00    -2.81     0.00
   -25.00 -1000.00     0.00    -0.02     0.00     0.91    -0.94   -25.05   -25.03    -0.59     0.60     0.00     0.00     0.00     0.00     2.95     0.00
   -25.00     0.00  1000.00     0.00    -0.02     0.94    -0.91   -25.03   -25.05    -0.60     0.59     0.00     0.00     0.00     0.00     0.00     2.95
   -25.00     0.00 -1000.00     0.00     0.02     0.94    -0.96   -25.03   -25.01    -0.60     0.60     0.00     0.00     0.00     0.00     0.00    -2.81
   -30.00  1000.00     0.00     0.02     0.00     0.91    -0.88   -29.91   -30.04    -0.80     0.80     0.00     0.00     0.00     0.00   -18.64     0.00
   -30.00 -1000.00     0.00    -0.02     0.00     0.85    -0.88   -30.18   -30.04    -0.80     0.80     0.00     0.00     0.00     0.00    19.54     0.00
   -30.00     0.00  1000.00     0.00    -0.02     0.88    -0.85   -30.04   -30.18    -0.80     0.80     0.00     0.00     0.00     0.00     0.00    19.54
   -30.00     0.00 -1000.00     0.00     0.02     0.88    -0.91   -30.04   -29.91    -0.80     0.80     0.00     0.00     0.00     0.00     0.00   -18.64
   -35.00  1000.00     0.00     0.02     0.00     0.78    -0.75   -34.81   -35.05    -0.99     1.00     0.00     0.00     0.00     0.00   -34.52     0.00
   -35.00 -1000.00     0.00    -0.02     0.00     0.71    -0.75   -35.31   -35.05    -1.01     1.00     0.00     0.00     0.00     0.00    36.18     0.00
   -35.00     0.00  1000.00     0.00    -0.02     0.75    -0.71   -35.05   -35.31    -1.00     1.01     0.00     0.00     0.00     0.00     0.00    36.18
   -35.00     0.00 -1000.00     0.00     0.02     0.75    -0.78   -35.05   -34.81    -1.00     0.99     0.00     0.00     0.00     0.00     0.00   -34.52
   -40.00  1000.00     0.00     0.02     0.00     0.57    -0.53   -39.71   -40.07    -1.19     1.20     0.00     0.00     0.00     0.00   -50.46     0.00
   -40.00 -1000.00     0.00    -0.02     0.00     0.48    -0.53   -40.45   -40.07    -1.21     1.20     0.00     0.00     0.00     0.00    52.89     0.00
   -40.00     0.00  1000.00     0.00    -0.02     0.53    -0.48   -40.07   -40.45    -1.20     1.21     0.00     0.00     0.00     0.00     0.00    52.89
   -40.00     0.00 -1000.00     0.00     0.02     0.53    -0.57   -40.07   -39.71    -1.20     1.19     0.00     0.00     0.00     0.00     0.00   -50.46
