
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            gnistFront                                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.00     0.01    -2.18     1.38    24.99    17.86     1.37    -1.11     0.00     0.00     0.01     0.01     0.00   999.12
    30.00  1000.00     0.00    -0.03    -0.01    -3.87     2.83    37.10    29.99     1.84    -1.56    -0.01     0.00     0.04    -0.02  -997.24     0.00
    30.00 -1000.00     0.00     0.00    -0.01    -1.92     2.83    22.86    29.99     1.29    -1.56     0.00     0.00     0.00    -0.02   998.68     0.00
    30.00     0.00  1000.00    -0.01    -0.03    -2.83     3.87    29.99    37.10     1.56    -1.84     0.00    -0.01     0.02    -0.04     0.00  -997.24
    30.00     0.00 -1000.00    -0.01     0.00    -2.83     1.92    29.99    22.86     1.56    -1.29     0.00     0.00     0.02     0.00     0.00   998.68
    35.00  1000.00     0.00    -0.05    -0.03    -4.69     3.54    42.09    34.98     2.04    -1.75    -0.01     0.00     0.07    -0.03  -996.65     0.00
    35.00 -1000.00     0.00    -0.01    -0.03    -2.54     3.54    27.86    34.98     1.48    -1.75     0.00     0.00     0.01    -0.03   998.21     0.00
    35.00     0.00  1000.00    -0.03    -0.05    -3.54     4.69    34.98    42.09     1.75    -2.04     0.00    -0.01     0.03    -0.07     0.00  -996.65
    35.00     0.00 -1000.00    -0.03    -0.01    -3.54     2.54    34.98    27.86     1.75    -1.48     0.00     0.00     0.03    -0.01     0.00   998.21
    40.00  1000.00     0.00    -0.07    -0.04    -5.58     4.33    47.07    39.97     2.25    -1.95    -0.01    -0.01     0.09    -0.05  -996.02     0.00
    40.00 -1000.00     0.00    -0.02    -0.04    -3.23     4.33    32.86    39.97     1.67    -1.95     0.00    -0.01     0.03    -0.05   997.70     0.00
    40.00     0.00  1000.00    -0.04    -0.07    -4.33     5.58    39.97    47.07     1.95    -2.25    -0.01    -0.01     0.05    -0.09     0.00  -996.02
    40.00     0.00 -1000.00    -0.04    -0.02    -4.33     3.23    39.97    32.86     1.95    -1.67    -0.01     0.00     0.05    -0.03     0.00   997.70
    -5.00  1000.00     0.00     0.00    -0.01    -0.12    -0.23     2.15    -5.00     0.57    -0.34     0.00     0.00     0.00    -0.01 -1000.29     0.00
    -5.00 -1000.00     0.00    -0.03    -0.01     0.43    -0.23   -12.16    -5.00     0.12    -0.34     0.00     0.00     0.03    -0.01  1001.10     0.00
    -5.00     0.00  1000.00    -0.01     0.00     0.23     0.12    -5.00     2.15     0.34    -0.57     0.00     0.00     0.01     0.00     0.00 -1000.29
    -5.00     0.00 -1000.00    -0.01    -0.03     0.23    -0.43    -5.00   -12.16     0.34    -0.12     0.00     0.00     0.01    -0.03     0.00  1001.10
   -10.00  1000.00     0.00     0.00    -0.02     0.14    -0.38    -2.85   -10.00     0.41    -0.19     0.00     0.00     0.01    -0.03 -1000.60     0.00
   -10.00 -1000.00     0.00    -0.04    -0.02     0.48    -0.38   -17.16   -10.00    -0.03    -0.19    -0.01     0.00     0.06    -0.03  1001.33     0.00
   -10.00     0.00  1000.00    -0.02     0.00     0.38    -0.14   -10.00    -2.85     0.19    -0.41     0.00     0.00     0.03    -0.01     0.00 -1000.60
   -10.00     0.00 -1000.00    -0.02    -0.04     0.38    -0.48   -10.00   -17.16     0.19     0.03     0.00    -0.01     0.03    -0.06     0.00  1001.33
   -15.00  1000.00     0.00    -0.01    -0.04     0.32    -0.47    -7.85   -15.01     0.25    -0.04     0.00     0.00     0.02    -0.04 -1000.88     0.00
   -15.00 -1000.00     0.00    -0.06    -0.04     0.47    -0.47   -22.17   -15.01    -0.17    -0.04    -0.01     0.00     0.08    -0.04  1001.54     0.00
   -15.00     0.00  1000.00    -0.04    -0.01     0.47    -0.32   -15.01    -7.85     0.04    -0.25     0.00     0.00     0.04    -0.02     0.00 -1000.88
   -15.00     0.00 -1000.00    -0.04    -0.06     0.47    -0.47   -15.01   -22.17     0.04     0.17     0.00    -0.01     0.04    -0.08     0.00  1001.54
   -20.00  1000.00     0.00    -0.03    -0.05     0.44    -0.48   -12.86   -20.01     0.10     0.11     0.00    -0.01     0.03    -0.07 -1001.13     0.00
   -20.00 -1000.00     0.00    -0.09    -0.05     0.38    -0.48   -27.17   -20.01    -0.31     0.11    -0.01    -0.01     0.11    -0.07  1001.72     0.00
   -20.00     0.00  1000.00    -0.05    -0.03     0.48    -0.44   -20.01   -12.86    -0.11    -0.10    -0.01     0.00     0.07    -0.03     0.00 -1001.13
   -20.00     0.00 -1000.00    -0.05    -0.09     0.48    -0.38   -20.01   -27.17    -0.11     0.31    -0.01    -0.01     0.07    -0.11     0.00  1001.72
   -25.00  1000.00     0.00    -0.04    -0.08     0.48    -0.43   -17.86   -25.02    -0.05     0.25    -0.01    -0.01     0.06    -0.10 -1001.36     0.00
   -25.00 -1000.00     0.00    -0.11    -0.08     0.23    -0.43   -32.18   -25.02    -0.44     0.25    -0.01    -0.01     0.14    -0.10  1001.89     0.00
   -25.00     0.00  1000.00    -0.08    -0.04     0.43    -0.48   -25.02   -17.86    -0.25     0.05    -0.01    -0.01     0.10    -0.06     0.00 -1001.36
   -25.00     0.00 -1000.00    -0.08    -0.11     0.43    -0.23   -25.02   -32.18    -0.25     0.44    -0.01    -0.01     0.10    -0.14     0.00  1001.89
   -30.00  1000.00     0.00    -0.06    -0.10     0.46    -0.30   -22.86   -30.02    -0.19     0.39    -0.01    -0.01     0.08    -0.13 -1001.56     0.00
   -30.00 -1000.00     0.00    -0.15    -0.10     0.00    -0.30   -37.19   -30.02    -0.57     0.39    -0.02    -0.01     0.18    -0.13  1002.03     0.00
   -30.00     0.00  1000.00    -0.10    -0.06     0.30    -0.46   -30.02   -22.86    -0.39     0.19    -0.01    -0.01     0.13    -0.08     0.00 -1001.56
   -30.00     0.00 -1000.00    -0.10    -0.15     0.30     0.00   -30.02   -37.19    -0.39     0.57    -0.01    -0.02     0.13    -0.18     0.00  1002.03
   -35.00  1000.00     0.00    -0.09    -0.13     0.36    -0.10   -27.86   -35.03    -0.33     0.52    -0.01    -0.02     0.11    -0.16 -1001.75     0.00
   -35.00 -1000.00     0.00    -0.18    -0.13    -0.30    -0.10   -42.19   -35.03    -0.70     0.52    -0.02    -0.02     0.23    -0.16  1002.15     0.00
   -35.00     0.00  1000.00    -0.13    -0.09     0.10    -0.36   -35.03   -27.86    -0.52     0.33    -0.02    -0.01     0.16    -0.11     0.00 -1001.75
   -35.00     0.00 -1000.00    -0.13    -0.18     0.10     0.30   -35.03   -42.19    -0.52     0.70    -0.02    -0.02     0.16    -0.23     0.00  1002.15
   -40.00  1000.00     0.00    -0.12    -0.16     0.20     0.16   -32.87   -40.03    -0.46     0.65    -0.01    -0.02     0.15    -0.21 -1001.91     0.00
   -40.00 -1000.00     0.00    -0.22    -0.16    -0.67     0.16   -47.20   -40.03    -0.82     0.65    -0.03    -0.02     0.27    -0.21  1002.25     0.00
   -40.00     0.00  1000.00    -0.16    -0.12    -0.16    -0.20   -40.03   -32.87    -0.65     0.46    -0.02    -0.01     0.21    -0.15     0.00 -1001.91
   -40.00     0.00 -1000.00    -0.16    -0.22    -0.16     0.67   -40.03   -47.20    -0.65     0.82    -0.02    -0.03     0.21    -0.27     0.00  1002.25
