
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           gnistFront                                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     0.00   -25.00   -37.81    54.41    52.04     0.00    -5.72    -0.50     0.25     1.20     0.00   -25.02     0.00     0.00
     0.00   -30.00   -43.05    54.73    54.87     0.00    -7.64    -0.50     0.39     1.44     0.00   -30.02     0.00     0.00
     0.00   -35.00   -47.79    55.03    57.66     0.00    -9.83    -0.50     0.52     1.68     0.00   -35.03     0.00     0.00
     0.00   -40.00   -52.12    55.30    60.42     0.00   -12.30    -0.50     0.65     1.93     0.00   -40.03     0.00     0.00
     5.00     0.00   -11.33    51.36    34.00     0.40     0.00    -0.66    -0.50     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    50.78    30.92     0.40     0.40    -0.66    -0.66     0.00     5.00     5.00     0.00     0.00
     5.00    10.00    13.70    50.07    27.71     0.40     0.57    -0.66    -0.83    -0.24     5.00    10.00     0.00     0.00
     5.00    15.00    30.66    49.20    24.34     0.40     0.50    -0.66    -1.01    -0.48     5.00    15.00     0.00     0.00
     5.00    20.00    52.27    48.09    20.72     0.40     0.20    -0.66    -1.19    -0.72     5.00    20.00     0.00     0.00
     5.00    25.00    80.84    46.61    16.75     0.40    -0.33    -0.66    -1.37    -0.95     5.00    24.99     0.00     0.00
     5.00    30.00   120.54    44.57    12.21     0.40    -1.09    -0.66    -1.56    -1.19     5.00    29.99     0.00     0.00
     5.00    35.00   179.74    41.52     6.65     0.40    -2.07    -0.66    -1.75    -1.43     5.00    34.98     0.00     0.00
     5.00    40.00   277.94    36.46    -0.91     0.40    -3.27    -0.66    -1.95    -1.67     5.00    39.97     0.00     0.00
     5.00     0.00   -11.33    51.36    34.00     0.40     0.00    -0.66    -0.50     0.24     5.00     0.00     0.00     0.00
     5.00    -5.00   -20.88    51.85    36.99     0.40    -0.64    -0.66    -0.34     0.48     5.00    -5.00     0.00     0.00
     5.00   -10.00   -29.06    52.27    39.91     0.40    -1.53    -0.66    -0.19     0.72     5.00   -10.00     0.00     0.00
     5.00   -15.00   -36.16    52.64    42.78     0.40    -2.67    -0.66    -0.04     0.96     5.00   -15.01     0.00     0.00
     5.00   -20.00   -42.38    52.96    45.60     0.40    -4.07    -0.66     0.11     1.20     5.00   -20.01     0.00     0.00
     5.00   -25.00   -47.90    53.25    48.38     0.40    -5.72    -0.66     0.25     1.44     5.00   -25.02     0.00     0.00
     5.00   -30.00   -52.84    53.50    51.13     0.40    -7.64    -0.66     0.39     1.68     5.00   -30.02     0.00     0.00
     5.00   -35.00   -57.28    53.73    53.86     0.40    -9.83    -0.66     0.52     1.92     5.00   -35.03     0.00     0.00
     5.00   -40.00   -61.31    53.94    56.57     0.40   -12.30    -0.66     0.65     2.17     5.00   -40.03     0.00     0.00
    10.00     0.00   -24.79    50.53    30.67     0.57     0.00    -0.83    -0.50     0.48    10.00     0.00     0.00     0.00
    10.00     5.00   -13.70    50.07    27.71     0.57     0.40    -0.83    -0.66     0.24    10.00     5.00     0.00     0.00
    10.00    10.00     0.00    49.51    24.65     0.57     0.57    -0.83    -0.83     0.00    10.00    10.00     0.00     0.00
    10.00    15.00    17.44    48.79    21.43     0.57     0.50    -0.83    -1.01    -0.24    10.00    15.00     0.00     0.00
    10.00    20.00    40.50    47.85    17.99     0.57     0.20    -0.83    -1.19    -0.48    10.00    20.00     0.00     0.00
    10.00    25.00    72.54    46.53    14.17     0.57    -0.33    -0.83    -1.37    -0.72    10.00    24.99     0.00     0.00
    10.00    30.00   120.35    44.57     9.71     0.57    -1.09    -0.83    -1.56    -0.95    10.00    29.99     0.00     0.00
    10.00    35.00   199.88    41.30     3.94     0.57    -2.07    -0.83    -1.75    -1.19    10.00    34.98     0.00     0.00
    10.00    40.00   359.50    34.75    -5.12     0.57    -3.27    -0.83    -1.95    -1.43    10.00    39.97     0.00     0.00
    10.00     0.00   -24.79    50.53    30.67     0.57     0.00    -0.83    -0.50     0.48    10.00     0.00     0.00     0.00
    10.00    -5.00   -33.97    50.90    33.54     0.57    -0.64    -0.83    -0.34     0.72    10.00    -5.00     0.00     0.00
    10.00   -10.00   -41.72    51.22    36.36     0.57    -1.53    -0.83    -0.19     0.96    10.00   -10.00     0.00     0.00
    10.00   -15.00   -48.37    51.49    39.13     0.57    -2.67    -0.83    -0.04     1.20    10.00   -15.01     0.00     0.00
    10.00   -20.00   -54.15    51.73    41.87     0.57    -4.07    -0.83     0.11     1.44    10.00   -20.01     0.00     0.00
    10.00   -25.00   -59.22    51.94    44.58     0.57    -5.72    -0.83     0.25     1.68    10.00   -25.02     0.00     0.00
    10.00   -30.00   -63.73    52.13    47.26     0.57    -7.64    -0.83     0.39     1.92    10.00   -30.02     0.00     0.00
    10.00   -35.00   -67.77    52.29    49.92     0.57    -9.83    -0.83     0.52     2.16    10.00   -35.03     0.00     0.00
    10.00   -40.00   -71.42    52.44    52.57     0.57   -12.30    -0.83     0.65     2.41    10.00   -40.03     0.00     0.00
    15.00     0.00   -41.08    49.52    27.16     0.50     0.00    -1.01    -0.50     0.72    15.00     0.00     0.00     0.00
    15.00     5.00   -30.66    49.20    24.34     0.50     0.40    -1.01    -0.66     0.48    15.00     5.00     0.00     0.00
    15.00    10.00   -17.44    48.79    21.43     0.50     0.57    -1.01    -0.83     0.24    15.00    10.00     0.00     0.00
    15.00    15.00     0.00    48.26    18.40     0.50     0.50    -1.01    -1.01     0.00    15.00    15.00     0.00     0.00
    15.00    20.00    24.21    47.52    15.16     0.50     0.20    -1.01    -1.19    -0.24    15.00    20.00     0.00     0.00
    15.00    25.00    60.33    46.41    11.55     0.50    -0.33    -1.01    -1.37    -0.48    15.00    24.99     0.00     0.00
    15.00    30.00   120.47    44.57     7.20     0.50    -1.09    -1.01    -1.56    -0.72    15.00    29.99     0.00     0.00
    15.00    35.00   241.64    40.86     0.99     0.50    -2.07    -1.01    -1.75    -0.95    15.00    34.98     0.00     0.00
    15.00    40.00   617.49    29.35   -13.02     0.50    -3.27    -1.01    -1.95    -1.19    15.00    39.97     0.00     0.00
    15.00     0.00   -41.08    49.52    27.16     0.50     0.00    -1.01    -0.50     0.72    15.00     0.00     0.00     0.00
    15.00    -5.00   -49.52    49.78    29.92     0.50    -0.64    -1.01    -0.34     0.95    15.00    -5.00     0.00     0.00
    15.00   -10.00   -56.53    49.99    32.63     0.50    -1.53    -1.01    -0.19     1.19    15.00   -10.00     0.00     0.00
    15.00   -15.00   -62.47    50.17    35.31     0.50    -2.67    -1.01    -0.04     1.43    15.00   -15.01     0.00     0.00
    15.00   -20.00   -67.57    50.33    37.96     0.50    -4.07    -1.01     0.11     1.67    15.00   -20.01     0.00     0.00
    15.00   -25.00   -72.02    50.47    40.60     0.50    -5.72    -1.01     0.25     1.92    15.00   -25.02     0.00     0.00
    15.00   -30.00   -75.95    50.59    43.22     0.50    -7.64    -1.01     0.39     2.16    15.00   -30.02     0.00     0.00
    15.00   -35.00   -79.45    50.69    45.82     0.50    -9.83    -1.01     0.52     2.40    15.00   -35.03     0.00     0.00
    15.00   -40.00   -82.59    50.79    48.42     0.50   -12.30    -1.01     0.65     2.65    15.00   -40.03     0.00     0.00
    20.00     0.00   -61.24    48.27    23.41     0.20     0.00    -1.19    -0.50     0.95    20.00     0.00     0.00     0.00
    20.00     5.00   -52.27    48.09    20.72     0.20     0.40    -1.19    -0.66     0.72    20.00     5.00     0.00     0.00
    20.00    10.00   -40.50    47.85    17.99     0.20     0.57    -1.19    -0.83     0.48    20.00    10.00     0.00     0.00
    20.00    15.00   -24.21    47.52    15.16     0.20     0.50    -1.19    -1.01     0.24    20.00    15.00     0.00     0.00
    20.00    20.00     0.00    47.03    12.17     0.20     0.20    -1.19    -1.19     0.00    20.00    20.00     0.00     0.00
    20.00    25.00    40.25    46.21     8.85     0.20    -0.33    -1.19    -1.37    -0.24    20.00    24.99     0.00     0.00
    20.00    30.00   121.42    44.57     4.70     0.20    -1.09    -1.19    -1.56    -0.48    20.00    29.99     0.00     0.00
    20.00    35.00   375.35    39.43    -2.94     0.20    -2.07    -1.19    -1.75    -0.72    20.00    34.98     0.00     0.00
    20.00    40.00 -6677.13   182.22   137.35     0.20    -3.27    -1.19    -1.95    -0.96    20.00    39.97     0.00     0.00
    20.00     0.00   -61.24    48.27    23.41     0.20     0.00    -1.19    -0.50     0.95    20.00     0.00     0.00     0.00
    20.00    -5.00   -68.34    48.41    26.05     0.20    -0.64    -1.19    -0.34     1.19    20.00    -5.00     0.00     0.00
    20.00   -10.00   -74.12    48.53    28.67     0.20    -1.53    -1.19    -0.19     1.43    20.00   -10.00     0.00     0.00
    20.00   -15.00   -78.96    48.63    31.26     0.20    -2.67    -1.19    -0.04     1.67    20.00   -15.01     0.00     0.00
    20.00   -20.00   -83.07    48.71    33.84     0.20    -4.07    -1.19     0.11     1.91    20.00   -20.01     0.00     0.00
    20.00   -25.00   -86.63    48.78    36.41     0.20    -5.72    -1.19     0.25     2.16    20.00   -25.02     0.00     0.00
    20.00   -30.00   -89.76    48.84    38.98     0.20    -7.64    -1.19     0.39     2.40    20.00   -30.02     0.00     0.00
    20.00   -35.00   -92.53    48.90    41.53     0.20    -9.83    -1.19     0.52     2.64    20.00   -35.03     0.00     0.00
    20.00   -40.00   -95.01    48.95    44.08     0.20   -12.30    -1.19     0.65     2.89    20.00   -40.03     0.00     0.00
    25.00     0.00   -86.92    46.67    19.31    -0.33     0.00    -1.37    -0.50     1.19    24.99     0.00     0.00     0.00
    25.00     5.00   -80.84    46.61    16.75    -0.33     0.40    -1.37    -0.66     0.95    24.99     5.00     0.00     0.00
    25.00    10.00   -72.54    46.53    14.17    -0.33     0.57    -1.37    -0.83     0.72    24.99    10.00     0.00     0.00
    25.00    15.00   -60.33    46.41    11.55    -0.33     0.50    -1.37    -1.01     0.48    24.99    15.00     0.00     0.00
    25.00    20.00   -40.25    46.21     8.85    -0.33     0.20    -1.37    -1.19     0.24    24.99    20.00     0.00     0.00
    25.00    25.00     0.00    45.81     5.95    -0.33    -0.33    -1.37    -1.37     0.00    24.99    24.99     0.00     0.00
    25.00    30.00   125.94    44.57     2.20    -0.33    -1.09    -1.37    -1.56    -0.24    24.99    29.99     0.00     0.00
    25.00    35.00 -2966.09    75.18    30.31    -0.33    -2.07    -1.37    -1.75    -0.48    24.99    34.98     0.00     0.00
    25.00    40.00  -318.97    48.97     1.60    -0.33    -3.27    -1.37    -1.95    -0.72    24.99    39.97     0.00     0.00
    25.00     0.00   -86.92    46.67    19.31    -0.33     0.00    -1.37    -0.50     1.19    24.99     0.00     0.00     0.00
    25.00    -5.00   -91.63    46.72    21.86    -0.33    -0.64    -1.37    -0.34     1.43    24.99    -5.00     0.00     0.00
    25.00   -10.00   -95.41    46.76    24.39    -0.33    -1.53    -1.37    -0.19     1.67    24.99   -10.00     0.00     0.00
    25.00   -15.00   -98.54    46.79    26.92    -0.33    -2.67    -1.37    -0.04     1.91    24.99   -15.01     0.00     0.00
    25.00   -20.00  -101.19    46.82    29.45    -0.33    -4.07    -1.37     0.11     2.15    24.99   -20.01     0.00     0.00
    25.00   -25.00  -103.49    46.84    31.97    -0.33    -5.72    -1.37     0.25     2.40    24.99   -25.02     0.00     0.00
    25.00   -30.00  -105.51    46.86    34.49    -0.33    -7.64    -1.37     0.39     2.64    24.99   -30.02     0.00     0.00
    25.00   -35.00  -107.31    46.88    37.00    -0.33    -9.83    -1.37     0.52     2.88    24.99   -35.03     0.00     0.00
    25.00   -40.00  -108.93    46.89    39.52    -0.33   -12.30    -1.37     0.65     3.13    24.99   -40.03     0.00     0.00
    30.00     0.00  -120.88    44.57    14.71    -1.09     0.00    -1.56    -0.50     1.43    29.99     0.00     0.00     0.00
    30.00     5.00  -120.54    44.57    12.21    -1.09     0.40    -1.56    -0.66     1.19    29.99     5.00     0.00     0.00
    30.00    10.00  -120.35    44.57     9.71    -1.09     0.57    -1.56    -0.83     0.95    29.99    10.00     0.00     0.00
    30.00    15.00  -120.47    44.57     7.20    -1.09     0.50    -1.56    -1.01     0.72    29.99    15.00     0.00     0.00
    30.00    20.00  -121.42    44.57     4.70    -1.09     0.20    -1.56    -1.19     0.48    29.99    20.00     0.00     0.00
    30.00    25.00  -125.94    44.57     2.20    -1.09    -0.33    -1.56    -1.37     0.24    29.99    24.99     0.00     0.00
    30.00    30.00     0.00    44.62    -0.25    -1.09    -1.09    -1.56    -1.56     0.00    29.99    29.99     0.00     0.00
    30.00    35.00  -105.79    44.58    -2.80    -1.09    -2.07    -1.56    -1.75    -0.24    29.99    34.98     0.00     0.00
    30.00    40.00  -109.12    44.57    -5.30    -1.09    -3.27    -1.56    -1.95    -0.48    29.99    39.97     0.00     0.00
    30.00     0.00  -120.88    44.57    14.71    -1.09     0.00    -1.56    -0.50     1.43    29.99     0.00     0.00     0.00
    30.00    -5.00  -121.29    44.57    17.20    -1.09    -0.64    -1.56    -0.34     1.67    29.99    -5.00     0.00     0.00
    30.00   -10.00  -121.74    44.57    19.70    -1.09    -1.53    -1.56    -0.19     1.91    29.99   -10.00     0.00     0.00
    30.00   -15.00  -122.22    44.57    22.20    -1.09    -2.67    -1.56    -0.04     2.15    29.99   -15.01     0.00     0.00
    30.00   -20.00  -122.70    44.57    24.70    -1.09    -4.07    -1.56     0.11     2.39    29.99   -20.01     0.00     0.00
    30.00   -25.00  -123.19    44.57    27.20    -1.09    -5.72    -1.56     0.25     2.64    29.99   -25.02     0.00     0.00
    30.00   -30.00  -123.68    44.57    29.70    -1.09    -7.64    -1.56     0.39     2.88    29.99   -30.02     0.00     0.00
    30.00   -35.00  -124.17    44.57    32.19    -1.09    -9.83    -1.56     0.52     3.12    29.99   -35.03     0.00     0.00
    30.00   -40.00  -124.65    44.57    34.69    -1.09   -12.30    -1.56     0.65     3.37    29.99   -40.03     0.00     0.00
    35.00     0.00  -168.02    41.65     9.28    -2.07     0.00    -1.75    -0.50     1.67    34.98     0.00     0.00     0.00
    35.00     5.00  -179.74    41.52     6.65    -2.07     0.40    -1.75    -0.66     1.43    34.98     5.00     0.00     0.00
    35.00    10.00  -199.88    41.30     3.94    -2.07     0.57    -1.75    -0.83     1.19    34.98    10.00     0.00     0.00
    35.00    15.00  -241.64    40.86     0.99    -2.07     0.50    -1.75    -1.01     0.95    34.98    15.00     0.00     0.00
    35.00    20.00  -375.35    39.43    -2.94    -2.07     0.20    -1.75    -1.19     0.72    34.98    20.00     0.00     0.00
    35.00    25.00  2966.09    75.18    30.31    -2.07    -0.33    -1.75    -1.37     0.48    34.98    24.99     0.00     0.00
    35.00    30.00   105.79    44.58    -2.80    -2.07    -1.09    -1.75    -1.56     0.24    34.98    29.99     0.00     0.00
    35.00    35.00     0.00    43.44    -6.43    -2.07    -2.07    -1.75    -1.75     0.00    34.98    34.98     0.00     0.00
    35.00    40.00   -36.53    43.05    -9.32    -2.07    -3.27    -1.75    -1.95    -0.24    34.98    39.97     0.00     0.00
    35.00     0.00  -168.02    41.65     9.28    -2.07     0.00    -1.75    -0.50     1.67    34.98     0.00     0.00     0.00
    35.00    -5.00  -160.46    41.73    11.86    -2.07    -0.64    -1.75    -0.34     1.91    34.98    -5.00     0.00     0.00
    35.00   -10.00  -155.25    41.78    14.41    -2.07    -1.53    -1.75    -0.19     2.15    34.98   -10.00     0.00     0.00
    35.00   -15.00  -151.49    41.82    16.95    -2.07    -2.67    -1.75    -0.04     2.39    34.98   -15.01     0.00     0.00
    35.00   -20.00  -148.69    41.85    19.48    -2.07    -4.07    -1.75     0.11     2.63    34.98   -20.01     0.00     0.00
    35.00   -25.00  -146.56    41.88    22.00    -2.07    -5.72    -1.75     0.25     2.88    34.98   -25.02     0.00     0.00
    35.00   -30.00  -144.90    41.89    24.52    -2.07    -7.64    -1.75     0.39     3.12    34.98   -30.02     0.00     0.00
    35.00   -35.00  -143.60    41.91    27.03    -2.07    -9.83    -1.75     0.52     3.37    34.98   -35.03     0.00     0.00
    35.00   -40.00  -142.56    41.92    29.54    -2.07   -12.30    -1.75     0.65     3.61    34.98   -40.03     0.00     0.00
    40.00     0.00  -238.18    37.30     2.43    -3.27     0.00    -1.95    -0.50     1.91    39.97     0.00     0.00     0.00
    40.00     5.00  -277.94    36.46    -0.91    -3.27     0.40    -1.95    -0.66     1.67    39.97     5.00     0.00     0.00
    40.00    10.00  -359.50    34.75    -5.12    -3.27     0.57    -1.95    -0.83     1.43    39.97    10.00     0.00     0.00
    40.00    15.00  -617.49    29.35   -13.02    -3.27     0.50    -1.95    -1.01     1.19    39.97    15.00     0.00     0.00
    40.00    20.00  6677.13   182.22   137.35    -3.27     0.20    -1.95    -1.19     0.96    39.97    20.00     0.00     0.00
    40.00    25.00   318.97    48.97     1.60    -3.27    -0.33    -1.95    -1.37     0.72    39.97    24.99     0.00     0.00
    40.00    30.00   109.12    44.57    -5.30    -3.27    -1.09    -1.95    -1.56     0.48    39.97    29.99     0.00     0.00
    40.00    35.00    36.53    43.05    -9.32    -3.27    -2.07    -1.95    -1.75     0.24    39.97    34.98     0.00     0.00
    40.00    40.00     0.00    42.29   -12.59    -3.27    -3.27    -1.95    -1.95     0.00    39.97    39.97     0.00     0.00
    40.00     0.00  -238.18    37.30     2.43    -3.27     0.00    -1.95    -0.50     1.91    39.97     0.00     0.00     0.00
    40.00    -5.00  -214.78    37.79     5.42    -3.27    -0.64    -1.95    -0.34     2.15    39.97    -5.00     0.00     0.00
    40.00   -10.00  -199.45    38.11     8.24    -3.27    -1.53    -1.95    -0.19     2.39    39.97   -10.00     0.00     0.00
    40.00   -15.00  -188.70    38.33    10.96    -3.27    -2.67    -1.95    -0.04     2.63    39.97   -15.01     0.00     0.00
    40.00   -20.00  -180.79    38.50    13.63    -3.27    -4.07    -1.95     0.11     2.88    39.97   -20.01     0.00     0.00
    40.00   -25.00  -174.76    38.62    16.25    -3.27    -5.72    -1.95     0.25     3.12    39.97   -25.02     0.00     0.00
    40.00   -30.00  -170.04    38.72    18.85    -3.27    -7.64    -1.95     0.39     3.36    39.97   -30.02     0.00     0.00
    40.00   -35.00  -166.26    38.80    21.42    -3.27    -9.83    -1.95     0.52     3.61    39.97   -35.03     0.00     0.00
    40.00   -40.00  -163.19    38.87    23.99    -3.27   -12.30    -1.95     0.65     3.85    39.97   -40.03     0.00     0.00
     0.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00     5.00    11.33    51.36    34.00     0.00     0.40    -0.50    -0.66    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    24.79    50.53    30.67     0.00     0.57    -0.50    -0.83    -0.48     0.00    10.00     0.00     0.00
     0.00    15.00    41.08    49.52    27.16     0.00     0.50    -0.50    -1.01    -0.72     0.00    15.00     0.00     0.00
     0.00    20.00    61.24    48.27    23.41     0.00     0.20    -0.50    -1.19    -0.95     0.00    20.00     0.00     0.00
     0.00    25.00    86.92    46.67    19.31     0.00    -0.33    -0.50    -1.37    -1.19     0.00    24.99     0.00     0.00
     0.00    30.00   120.88    44.57    14.71     0.00    -1.09    -0.50    -1.56    -1.43     0.00    29.99     0.00     0.00
     0.00    35.00   168.02    41.65     9.28     0.00    -2.07    -0.50    -1.75    -1.67     0.00    34.98     0.00     0.00
     0.00    40.00   238.18    37.30     2.43     0.00    -3.27    -0.50    -1.95    -1.91     0.00    39.97     0.00     0.00
     0.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -9.69    52.67    40.31     0.00    -0.64    -0.50    -0.34     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -18.10    53.19    43.33     0.00    -1.53    -0.50    -0.19     0.48     0.00   -10.00     0.00     0.00
     0.00   -15.00   -25.46    53.64    46.28     0.00    -2.67    -0.50    -0.04     0.72     0.00   -15.01     0.00     0.00
     0.00   -20.00   -31.99    54.05    49.18     0.00    -4.07    -0.50     0.11     0.96     0.00   -20.01     0.00     0.00
     0.00   -25.00   -37.81    54.41    52.04     0.00    -5.72    -0.50     0.25     1.20     0.00   -25.02     0.00     0.00
     0.00   -30.00   -43.05    54.73    54.87     0.00    -7.64    -0.50     0.39     1.44     0.00   -30.02     0.00     0.00
     0.00   -35.00   -47.79    55.03    57.66     0.00    -9.83    -0.50     0.52     1.68     0.00   -35.03     0.00     0.00
     0.00   -40.00   -52.12    55.30    60.42     0.00   -12.30    -0.50     0.65     1.93     0.00   -40.03     0.00     0.00
    -5.00     0.00     9.69    52.67    40.31    -0.64     0.00    -0.34    -0.50    -0.24    -5.00     0.00     0.00     0.00
    -5.00     5.00    20.88    51.85    36.99    -0.64     0.40    -0.34    -0.66    -0.48    -5.00     5.00     0.00     0.00
    -5.00    10.00    33.97    50.90    33.54    -0.64     0.57    -0.34    -0.83    -0.72    -5.00    10.00     0.00     0.00
    -5.00    15.00    49.52    49.78    29.92    -0.64     0.50    -0.34    -1.01    -0.95    -5.00    15.00     0.00     0.00
    -5.00    20.00    68.34    48.41    26.05    -0.64     0.20    -0.34    -1.19    -1.19    -5.00    20.00     0.00     0.00
    -5.00    25.00    91.63    46.72    21.86    -0.64    -0.33    -0.34    -1.37    -1.43    -5.00    24.99     0.00     0.00
    -5.00    30.00   121.29    44.57    17.20    -0.64    -1.09    -0.34    -1.56    -1.67    -5.00    29.99     0.00     0.00
    -5.00    35.00   160.46    41.73    11.86    -0.64    -2.07    -0.34    -1.75    -1.91    -5.00    34.98     0.00     0.00
    -5.00    40.00   214.78    37.79     5.42    -0.64    -3.27    -0.34    -1.95    -2.15    -5.00    39.97     0.00     0.00
    -5.00     0.00     9.69    52.67    40.31    -0.64     0.00    -0.34    -0.50    -0.24    -5.00     0.00     0.00     0.00
    -5.00    -5.00     0.00    53.37    43.51    -0.64    -0.64    -0.34    -0.34     0.00    -5.00    -5.00     0.00     0.00
    -5.00   -10.00    -8.49    53.99    46.62    -0.64    -1.53    -0.34    -0.19     0.24    -5.00   -10.00     0.00     0.00
    -5.00   -15.00   -16.01    54.53    49.67    -0.64    -2.67    -0.34    -0.04     0.48    -5.00   -15.01     0.00     0.00
    -5.00   -20.00   -22.71    55.02    52.65    -0.64    -4.07    -0.34     0.11     0.72    -5.00   -20.01     0.00     0.00
    -5.00   -25.00   -28.74    55.45    55.59    -0.64    -5.72    -0.34     0.25     0.96    -5.00   -25.02     0.00     0.00
    -5.00   -30.00   -34.19    55.85    58.48    -0.64    -7.64    -0.34     0.39     1.20    -5.00   -30.02     0.00     0.00
    -5.00   -35.00   -39.16    56.21    61.34    -0.64    -9.83    -0.34     0.52     1.44    -5.00   -35.03     0.00     0.00
    -5.00   -40.00   -43.71    56.54    64.17    -0.64   -12.30    -0.34     0.65     1.69    -5.00   -40.03     0.00     0.00
   -10.00     0.00    18.10    53.19    43.33    -1.53     0.00    -0.19    -0.50    -0.48   -10.00     0.00     0.00     0.00
   -10.00     5.00    29.06    52.27    39.91    -1.53     0.40    -0.19    -0.66    -0.72   -10.00     5.00     0.00     0.00
   -10.00    10.00    41.72    51.22    36.36    -1.53     0.57    -0.19    -0.83    -0.96   -10.00    10.00     0.00     0.00
   -10.00    15.00    56.53    49.99    32.63    -1.53     0.50    -0.19    -1.01    -1.19   -10.00    15.00     0.00     0.00
   -10.00    20.00    74.12    48.53    28.67    -1.53     0.20    -0.19    -1.19    -1.43   -10.00    20.00     0.00     0.00
   -10.00    25.00    95.41    46.76    24.39    -1.53    -0.33    -0.19    -1.37    -1.67   -10.00    24.99     0.00     0.00
   -10.00    30.00   121.74    44.57    19.70    -1.53    -1.09    -0.19    -1.56    -1.91   -10.00    29.99     0.00     0.00
   -10.00    35.00   155.25    41.78    14.41    -1.53    -2.07    -0.19    -1.75    -2.15   -10.00    34.98     0.00     0.00
   -10.00    40.00   199.45    38.11     8.24    -1.53    -3.27    -0.19    -1.95    -2.39   -10.00    39.97     0.00     0.00
   -10.00     0.00    18.10    53.19    43.33    -1.53     0.00    -0.19    -0.50    -0.48   -10.00     0.00     0.00     0.00
   -10.00    -5.00     8.49    53.99    46.62    -1.53    -0.64    -0.19    -0.34    -0.24   -10.00    -5.00     0.00     0.00
   -10.00   -10.00     0.00    54.69    49.83    -1.53    -1.53    -0.19    -0.19     0.00   -10.00   -10.00     0.00     0.00
   -10.00   -15.00    -7.58    55.32    52.96    -1.53    -2.67    -0.19    -0.04     0.24   -10.00   -15.01     0.00     0.00
   -10.00   -20.00   -14.38    55.89    56.02    -1.53    -4.07    -0.19     0.11     0.48   -10.00   -20.01     0.00     0.00
   -10.00   -25.00   -20.54    56.40    59.03    -1.53    -5.72    -0.19     0.25     0.72   -10.00   -25.02     0.00     0.00
   -10.00   -30.00   -26.14    56.87    62.00    -1.53    -7.64    -0.19     0.39     0.96   -10.00   -30.02     0.00     0.00
   -10.00   -35.00   -31.27    57.29    64.92    -1.53    -9.83    -0.19     0.52     1.20   -10.00   -35.03     0.00     0.00
   -10.00   -40.00   -35.98    57.68    67.81    -1.53   -12.30    -0.19     0.65     1.45   -10.00   -40.03     0.00     0.00
   -15.00     0.00    25.46    53.64    46.28    -2.67     0.00    -0.04    -0.50    -0.72   -15.01     0.00     0.00     0.00
   -15.00     5.00    36.16    52.64    42.78    -2.67     0.40    -0.04    -0.66    -0.96   -15.01     5.00     0.00     0.00
