
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             gnistFront                                          

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     0.00   -60.00   -59.74   -76.37    -0.86    21.35   -58.57   -46.14   -30.23   -16.63   -13.60    55.00   128.45     3.59     4.27
     0.00   -70.00   -73.41   -76.89     0.19    21.25   -68.86   -46.63   -30.26    -3.48   -26.78    11.50   143.48     3.24     3.89
     5.00     0.00    -0.01     0.01    -0.66    21.16     0.57     0.01     0.00     0.01    -0.01     0.00    67.30 ******** ********
     5.00    10.00    10.59     9.88     0.22    21.10    -1.72     9.30     1.29     0.71     0.58    55.14    57.35    17.88    18.41
     5.00    20.00    22.51    19.39     1.45    21.04    -8.71    17.54     4.97     3.12     1.85    62.80    46.43     9.26     9.85
     5.00    30.00    37.15    28.80     3.24    20.95   -20.86    25.86    11.29     8.34     2.94    73.93    33.40     6.39     7.03
     5.00    40.00    61.74    38.39     6.63    20.84   -40.52    38.26    23.47    23.35     0.13    99.47    12.44     4.97     5.64
     5.00    50.00    75.82    48.49     7.86    20.81   -51.50    45.70    30.11    27.33     2.79    90.74     4.51     4.13     4.81
     5.00    60.00    76.30    59.66     7.01    20.75   -59.06    46.11    30.19    16.63    13.55    55.10     4.67     3.59     4.27
     5.00    70.00    76.82    73.27     6.06    20.69   -69.67    46.60    30.22     3.55    26.67    11.74     4.13     3.24     3.89
     5.00     0.00    -0.01     0.01    -0.66    21.16     0.57     0.01     0.00     0.01    -0.01     0.00    67.30 ******** ********
     5.00   -10.00    -9.88   -10.59    -1.28    21.21    -1.72    -9.30    -1.29    -0.71    -0.58    55.14    76.81    17.88    18.41
     5.00   -20.00   -19.39   -22.51    -1.67    21.26    -8.71   -17.54    -4.97    -3.12    -1.85    62.80    86.19     9.26     9.85
     5.00   -30.00   -28.80   -37.15    -1.84    21.30   -20.86   -25.86   -11.29    -8.34    -2.94    73.93    95.70     6.39     7.03
     5.00   -40.00   -38.39   -61.74    -1.80    21.35   -40.52   -38.26   -23.47   -23.35    -0.13    99.47   105.61     4.97     5.64
     5.00   -50.00   -48.49   -75.82    -1.53    21.37   -51.50   -45.70   -30.11   -27.33    -2.79    90.74   116.29     4.13     4.81
     5.00   -60.00   -59.66   -76.30    -0.95    21.36   -59.06   -46.11   -30.19   -16.63   -13.55    55.10   128.37     3.59     4.27
     5.00   -70.00   -73.27   -76.82     0.13    21.26   -69.67   -46.60   -30.22    -3.55   -26.67    11.74   143.38     3.24     3.89
    10.00     0.00    -0.01     0.01    -0.83    21.17     1.03     0.01     0.00     0.02    -0.02     0.00    67.25 ******** ********
    10.00    10.00    10.58     9.87     0.05    21.11    -1.29     9.29     1.28     0.70     0.58    54.74    57.29    17.89    18.42
    10.00    20.00    22.48    19.37     1.29    21.04    -8.39    17.52     4.96     3.11     1.85    62.71    46.37     9.27     9.86
    10.00    30.00    37.10    28.78     3.10    20.95   -20.73    25.84    11.27     8.33     2.94    73.91    33.33     6.40     7.04
    10.00    40.00    61.65    38.35     6.53    20.83   -40.72    38.22    23.42    23.30     0.13    99.45    12.29     4.97     5.64
    10.00    50.00    75.74    48.43     7.81    20.79   -51.94    45.67    30.07    27.31     2.76    90.81     3.95     4.13     4.81
    10.00    60.00    76.23    59.58     6.95    20.73   -59.69    46.08    30.14    16.65    13.50    55.23     4.05     3.59     4.27
    10.00    70.00    76.75    73.13     5.99    20.67   -70.68    46.59    30.17     3.63    26.54    12.02     3.38     3.24     3.90
    10.00     0.00    -0.01     0.01    -0.83    21.17     1.03     0.01     0.00     0.02    -0.02     0.00    67.25 ******** ********
    10.00   -10.00    -9.87   -10.58    -1.44    21.22    -1.29    -9.29    -1.28    -0.70    -0.58    54.74    76.76    17.89    18.42
    10.00   -20.00   -19.37   -22.48    -1.82    21.27    -8.39   -17.52    -4.96    -3.11    -1.85    62.71    86.14     9.27     9.86
    10.00   -30.00   -28.78   -37.10    -1.99    21.32   -20.73   -25.84   -11.27    -8.33    -2.94    73.91    95.64     6.40     7.04
    10.00   -40.00   -38.35   -61.65    -1.94    21.36   -40.72   -38.22   -23.42   -23.30    -0.13    99.45   105.55     4.97     5.64
    10.00   -50.00   -48.43   -75.74    -1.64    21.39   -51.94   -45.67   -30.07   -27.31    -2.76    90.81   116.22     4.13     4.81
    10.00   -60.00   -59.58   -76.23    -1.04    21.38   -59.69   -46.08   -30.14   -16.65   -13.50    55.23   128.28     3.59     4.27
    10.00   -70.00   -73.13   -76.75     0.06    21.28   -70.68   -46.59   -30.17    -3.63   -26.54    12.02   143.25     3.24     3.90
    15.00     0.00    -0.01     0.01    -1.01    21.18     1.39     0.01     0.00     0.02    -0.02     0.00    67.19 ******** ********
    15.00    10.00    10.57     9.86    -0.12    21.12    -0.97     9.29     1.28     0.70     0.58    54.93    57.24    17.91    18.44
    15.00    20.00    22.46    19.35     1.12    21.05    -8.18    17.51     4.95     3.11     1.84    62.78    46.32     9.28     9.87
    15.00    30.00    37.06    28.75     2.95    20.95   -20.71    25.82    11.25     8.32     2.93    73.96    33.27     6.41     7.04
    15.00    40.00    61.56    38.31     6.44    20.82   -41.05    38.18    23.38    23.25     0.12    99.47    12.16     4.98     5.64
    15.00    50.00    75.67    48.37     7.76    20.78   -52.52    45.64    30.03    27.30     2.73    90.91     3.39     4.14     4.82
    15.00    60.00    76.16    59.49     6.90    20.71   -60.48    46.06    30.10    16.67    13.43    55.40     3.43     3.59     4.27
    15.00    70.00    76.68    72.97     5.92    20.64   -71.88    46.57    30.11     3.71    26.40    12.34     2.63     3.24     3.90
    15.00     0.00    -0.01     0.01    -1.01    21.18     1.39     0.01     0.00     0.02    -0.02     0.00    67.19 ******** ********
    15.00   -10.00    -9.86   -10.57    -1.61    21.23    -0.97    -9.29    -1.28    -0.70    -0.58    54.93    76.70    17.91    18.44
    15.00   -20.00   -19.35   -22.46    -1.99    21.28    -8.18   -17.51    -4.95    -3.11    -1.84    62.78    86.08     9.28     9.87
    15.00   -30.00   -28.75   -37.06    -2.14    21.33   -20.71   -25.82   -11.25    -8.32    -2.93    73.96    95.58     6.41     7.04
    15.00   -40.00   -38.31   -61.56    -2.07    21.38   -41.05   -38.18   -23.38   -23.25    -0.12    99.47   105.48     4.98     5.64
    15.00   -50.00   -48.37   -75.67    -1.76    21.40   -52.52   -45.64   -30.03   -27.30    -2.73    90.91   116.14     4.14     4.82
    15.00   -60.00   -59.49   -76.16    -1.13    21.39   -60.48   -46.06   -30.10   -16.67   -13.43    55.40   128.18     3.59     4.27
    15.00   -70.00   -72.97   -76.68     0.00    21.29   -71.88   -46.57   -30.11    -3.71   -26.40    12.34   143.11     3.24     3.90
    20.00     0.00     0.00     0.00    -1.19    21.18     1.64     0.00     0.00     0.01    -0.01     0.00    67.14 ******** ********
    20.00    10.00    10.56     9.85    -0.30    21.12    -0.75     9.28     1.28     0.71     0.57    55.69    57.18    17.93    18.47
    20.00    20.00    22.44    19.33     0.95    21.05    -8.07    17.50     4.95     3.12     1.83    62.99    46.26     9.29     9.88
    20.00    30.00    37.03    28.71     2.80    20.95   -20.81    25.80    11.23     8.32     2.91    74.07    33.21     6.41     7.05
    20.00    40.00    61.48    38.26     6.34    20.81   -41.50    38.15    23.33    23.22     0.11    99.54    12.04     4.98     5.65
    20.00    50.00    75.60    48.30     7.70    20.76   -53.22    45.61    29.98    27.30     2.69    91.04     2.83     4.14     4.82
    20.00    60.00    76.09    59.38     6.84    20.70   -61.41    46.04    30.05    16.71    13.34    55.59     2.81     3.60     4.28
    20.00    70.00    76.62    72.80     5.85    20.62   -73.28    46.56    30.06     3.82    26.24    12.69     1.87     3.25     3.90
    20.00     0.00     0.00     0.00    -1.19    21.18     1.64     0.00     0.00     0.01    -0.01     0.00    67.14 ******** ********
    20.00   -10.00    -9.85   -10.56    -1.79    21.24    -0.75    -9.28    -1.28    -0.71    -0.57    55.69    76.64    17.93    18.47
    20.00   -20.00   -19.33   -22.44    -2.15    21.29    -8.07   -17.50    -4.95    -3.12    -1.83    62.99    86.01     9.29     9.88
    20.00   -30.00   -28.71   -37.03    -2.30    21.34   -20.81   -25.80   -11.23    -8.32    -2.91    74.07    95.51     6.41     7.05
    20.00   -40.00   -38.26   -61.48    -2.21    21.39   -41.50   -38.15   -23.33   -23.22    -0.11    99.54   105.40     4.98     5.65
    20.00   -50.00   -48.30   -75.60    -1.88    21.42   -53.22   -45.61   -29.98   -27.30    -2.69    91.04   116.04     4.14     4.82
    20.00   -60.00   -59.38   -76.09    -1.23    21.41   -61.41   -46.04   -30.05   -16.71   -13.34    55.59   128.07     3.60     4.28
    20.00   -70.00   -72.80   -76.62    -0.07    21.30   -73.28   -46.56   -30.06    -3.82   -26.24    12.69   142.94     3.25     3.90
    25.00     0.00     0.01    -0.01    -1.37    21.19     1.79    -0.01     0.00    -0.01     0.01     0.00    67.08 ******** ********
    25.00    10.00    10.56     9.83    -0.48    21.13    -0.64     9.28     1.28     0.73     0.55    57.02    57.13    17.97    18.50
    25.00    20.00    22.43    19.30     0.78    21.06    -8.07    17.49     4.94     3.13     1.81    63.34    46.21     9.30     9.89
    25.00    30.00    36.99    28.67     2.65    20.95   -21.02    25.78    11.21     8.32     2.89    74.24    33.15     6.42     7.06
    25.00    40.00    61.40    38.20     6.24    20.80   -42.07    38.12    23.28    23.19     0.08    99.64    11.95     4.99     5.65
    25.00    50.00    75.53    48.22     7.64    20.74   -54.05    45.59    29.93    27.30     2.63    91.21     2.28     4.15     4.83
    25.00    60.00    76.02    59.28     6.77    20.67   -62.50    46.02    30.00    16.75    13.25    55.83     2.20     3.60     4.28
    25.00    70.00    76.55    72.62     5.78    20.59   -74.89    46.56    30.00     3.93    26.07    13.09     1.11     3.25     3.91
    25.00     0.00     0.01    -0.01    -1.37    21.19     1.79    -0.01     0.00    -0.01     0.01     0.00    67.08 ******** ********
    25.00   -10.00    -9.83   -10.56    -1.97    21.25    -0.64    -9.28    -1.28    -0.73    -0.55    57.02    76.58    17.97    18.50
    25.00   -20.00   -19.30   -22.43    -2.33    21.30    -8.07   -17.49    -4.94    -3.13    -1.81    63.34    85.94     9.30     9.89
    25.00   -30.00   -28.67   -36.99    -2.46    21.36   -21.02   -25.78   -11.21    -8.32    -2.89    74.24    95.43     6.42     7.06
    25.00   -40.00   -38.20   -61.40    -2.36    21.41   -42.07   -38.12   -23.28   -23.19    -0.08    99.64   105.31     4.99     5.65
    25.00   -50.00   -48.22   -75.53    -2.01    21.44   -54.05   -45.59   -29.93   -27.30    -2.63    91.21   115.94     4.15     4.83
    25.00   -60.00   -59.28   -76.02    -1.33    21.43   -62.50   -46.02   -30.00   -16.75   -13.25    55.83   127.94     3.60     4.28
    25.00   -70.00   -72.62   -76.55    -0.15    21.31   -74.89   -46.56   -30.00    -3.93   -26.07    13.09   142.76     3.25     3.91
    30.00     0.00     0.02    -0.02    -1.56    21.20     1.84    -0.02     0.00    -0.04     0.04     0.00    67.02 ******** ********
    30.00    10.00    10.56     9.81    -0.67    21.14    -0.63     9.28     1.28     0.75     0.53    58.91    57.07    18.01    18.54
    30.00    20.00    22.42    19.27     0.60    21.06    -8.18    17.48     4.94     3.15     1.79    63.84    46.16     9.32     9.91
    30.00    30.00    36.96    28.63     2.49    20.95   -21.33    25.77    11.20     8.34     2.86    74.49    33.11     6.43     7.06
    30.00    40.00    61.32    38.14     6.13    20.79   -42.76    38.09    23.23    23.18     0.05    99.77    11.89     5.00     5.66
    30.00    50.00    75.45    48.14     7.59    20.72   -55.01    45.57    29.88    27.31     2.57    91.40     1.72     4.15     4.83
    30.00    60.00    75.96    59.16     6.71    20.65   -63.73    46.01    29.94    16.80    13.15    56.10     1.59     3.61     4.29
    30.00    70.00    76.49    72.44     5.70    20.56   -76.71    46.56    29.93     4.05    25.88    13.53     0.36     3.25     3.91
    30.00     0.00     0.02    -0.02    -1.56    21.20     1.84    -0.02     0.00    -0.04     0.04     0.00    67.02 ******** ********
    30.00   -10.00    -9.81   -10.56    -2.16    21.26    -0.63    -9.28    -1.28    -0.75    -0.53    58.91    76.51    18.01    18.54
    30.00   -20.00   -19.27   -22.42    -2.50    21.32    -8.18   -17.48    -4.94    -3.15    -1.79    63.84    85.87     9.32     9.91
    30.00   -30.00   -28.63   -36.96    -2.62    21.37   -21.33   -25.77   -11.20    -8.34    -2.86    74.49    95.35     6.43     7.06
    30.00   -40.00   -38.14   -61.32    -2.51    21.43   -42.76   -38.09   -23.23   -23.18    -0.05    99.77   105.21     5.00     5.66
    30.00   -50.00   -48.14   -75.45    -2.14    21.46   -55.01   -45.57   -29.88   -27.31    -2.57    91.40   115.83     4.15     4.83
    30.00   -60.00   -59.16   -75.96    -1.44    21.45   -63.73   -46.01   -29.94   -16.80   -13.15    56.10   127.80     3.61     4.29
    30.00   -70.00   -72.44   -76.49    -0.23    21.33   -76.71   -46.56   -29.93    -4.05   -25.88    13.53   142.56     3.25     3.91
    35.00     0.00     0.03    -0.03    -1.75    21.21     1.78    -0.03     0.00    -0.07     0.07     0.00    66.96 ******** ********
    35.00    10.00    10.57     9.78    -0.86    21.15    -0.73     9.29     1.28     0.79     0.50    61.35    57.02    18.06    18.59
    35.00    20.00    22.41    19.23     0.42    21.07    -8.40    17.48     4.93     3.18     1.75    64.48    46.11     9.33     9.92
    35.00    30.00    36.94    28.57     2.32    20.95   -21.77    25.76    11.18     8.36     2.82    74.80    33.07     6.44     7.07
    35.00    40.00    61.24    38.08     6.03    20.78   -43.57    38.06    23.18    23.17     0.01    99.95    11.84     5.00     5.67
    35.00    50.00    75.38    48.05     7.53    20.70   -56.11    45.55    29.83    27.33     2.50    91.62     1.18     4.16     4.84
    35.00    60.00    75.89    59.03     6.65    20.63   -65.12    46.00    29.89    16.86    13.03    56.40     0.97     3.61     4.29
    35.00    70.00    76.42    72.24     5.62    20.53   -78.75    46.56    29.86     4.19    25.68    14.02     0.43     3.26     3.91
    35.00     0.00     0.03    -0.03    -1.75    21.21     1.78    -0.03     0.00    -0.07     0.07     0.00    66.96 ******** ********
    35.00   -10.00    -9.78   -10.57    -2.35    21.27    -0.73    -9.29    -1.28    -0.79    -0.50    61.35    76.44    18.06    18.59
    35.00   -20.00   -19.23   -22.41    -2.69    21.33    -8.40   -17.48    -4.93    -3.18    -1.75    64.48    85.79     9.33     9.92
    35.00   -30.00   -28.57   -36.94    -2.80    21.39   -21.77   -25.76   -11.18    -8.36    -2.82    74.80    95.26     6.44     7.07
    35.00   -40.00   -38.08   -61.24    -2.67    21.45   -43.57   -38.06   -23.18   -23.17    -0.01    99.95   105.11     5.00     5.67
    35.00   -50.00   -48.05   -75.38    -2.28    21.48   -56.11   -45.55   -29.83   -27.33    -2.50    91.62   115.71     4.16     4.84
    35.00   -60.00   -59.03   -75.89    -1.55    21.47   -65.12   -46.00   -29.89   -16.86   -13.03    56.40   127.64     3.61     4.29
    35.00   -70.00   -72.24   -76.42    -0.31    21.35   -78.75   -46.56   -29.86    -4.19   -25.68    14.02   142.34     3.26     3.91
    40.00     0.00     0.05    -0.05    -1.95    21.22     1.61    -0.05     0.00    -0.11     0.11     0.00    66.89 ******** ********
    40.00    10.00    10.58     9.75    -1.06    21.16    -0.94     9.29     1.28     0.83     0.46    64.33    56.96    18.11    18.64
    40.00    20.00    22.40    19.19     0.23    21.08    -8.72    17.47     4.93     3.22     1.71    65.27    46.07     9.35     9.94
    40.00    30.00    36.91    28.52     2.16    20.96   -22.31    25.75    11.16     8.39     2.77    75.17    33.03     6.45     7.09
    40.00    40.00    61.17    38.00     5.92    20.76   -44.50    38.04    23.13    23.16    -0.03   100.15    11.82     5.01     5.68
    40.00    50.00    75.31    47.96     7.46    20.68   -57.33    45.54    29.77    27.36     2.42    91.88     0.63     4.16     4.84
    40.00    60.00    75.82    58.90     6.58    20.60   -66.67    46.00    29.83    16.92    12.90    56.73     0.36     3.62     4.30
    40.00    70.00    76.36    72.03     5.53    20.49   -81.01    46.57    29.79     4.33    25.46    14.54     1.19     3.26     3.92
    40.00     0.00     0.05    -0.05    -1.95    21.22     1.61    -0.05     0.00    -0.11     0.11     0.00    66.89 ******** ********
    40.00   -10.00    -9.75   -10.58    -2.54    21.28    -0.94    -9.29    -1.28    -0.83    -0.46    64.33    76.37    18.11    18.64
    40.00   -20.00   -19.19   -22.40    -2.88    21.34    -8.72   -17.47    -4.93    -3.22    -1.71    65.27    85.71     9.35     9.94
    40.00   -30.00   -28.52   -36.91    -2.97    21.41   -22.31   -25.75   -11.16    -8.39    -2.77    75.17    95.16     6.45     7.09
    40.00   -40.00   -38.00   -61.17    -2.83    21.47   -44.50   -38.04   -23.13   -23.16     0.03   100.15   105.00     5.01     5.68
    40.00   -50.00   -47.96   -75.31    -2.42    21.51   -57.33   -45.54   -29.77   -27.36    -2.42    91.88   115.57     4.16     4.84
    40.00   -60.00   -58.90   -75.82    -1.67    21.49   -66.67   -46.00   -29.83   -16.92   -12.90    56.73   127.48     3.62     4.30
    40.00   -70.00   -72.03   -76.36    -0.39    21.36   -81.01   -46.57   -29.79    -4.33   -25.46    14.54   142.10     3.26     3.92
     0.00     0.00     0.00     0.00    -0.50    21.15     0.00     0.00     0.00     0.00     0.00     0.00    67.36 ******** ********
     0.00    10.00    10.60     9.88     0.38    21.10    -2.26     9.32     1.29     0.72     0.57    56.11    57.40    17.87    18.41
     0.00    20.00    22.54    19.40     1.60    21.03    -9.15    17.56     4.98     3.14     1.84    63.04    46.49     9.26     9.85
     0.00    30.00    37.19    28.82     3.37    20.95   -21.11    25.89    11.31     8.37     2.94    74.03    33.48     6.39     7.03
     0.00    40.00    61.83    38.42     6.72    20.85   -40.44    38.31    23.52    23.41     0.11    99.52    12.61     4.97     5.63
     0.00    50.00    75.89    48.54     7.91    20.82   -51.19    45.74    30.15    27.35     2.80    90.70     5.08     4.13     4.81
     0.00    60.00    76.37    59.74     7.07    20.77   -58.57    46.14    30.23    16.63    13.60    55.00     5.29     3.59     4.27
     0.00    70.00    76.89    73.41     6.13    20.71   -68.86    46.63    30.26     3.48    26.78    11.50     4.88     3.24     3.89
     0.00     0.00     0.00     0.00    -0.50    21.15     0.00     0.00     0.00     0.00     0.00     0.00    67.36 ******** ********
     0.00   -10.00    -9.88   -10.60    -1.12    21.20    -2.26    -9.32    -1.29    -0.72    -0.57    56.11    76.86    17.87    18.41
     0.00   -20.00   -19.40   -22.54    -1.51    21.25    -9.15   -17.56    -4.98    -3.14    -1.84    63.04    86.24     9.26     9.85
     0.00   -30.00   -28.82   -37.19    -1.70    21.29   -21.11   -25.89   -11.31    -8.37    -2.94    74.03    95.76     6.39     7.03
     0.00   -40.00   -38.42   -61.83    -1.68    21.33   -40.44   -38.31   -23.52   -23.41    -0.11    99.52   105.67     4.97     5.63
     0.00   -50.00   -48.54   -75.89    -1.42    21.36   -51.19   -45.74   -30.15   -27.35    -2.80    90.70   116.36     4.13     4.81
     0.00   -60.00   -59.74   -76.37    -0.86    21.35   -58.57   -46.14   -30.23   -16.63   -13.60    55.00   128.45     3.59     4.27
     0.00   -70.00   -73.41   -76.89     0.19    21.25   -68.86   -46.63   -30.26    -3.48   -26.78    11.50   143.48     3.24     3.89
    -5.00     0.00     0.01    -0.01    -0.34    21.15    -0.68    -0.01     0.00    -0.02     0.02     0.00    67.41 ******** ********
    -5.00    10.00    10.63     9.88     0.54    21.09    -2.90     9.33     1.29     0.75     0.55    57.68    57.46    17.88    18.41
    -5.00    20.00    22.57    19.40     1.75    21.03    -9.69    17.58     4.99     3.16     1.83    63.42    46.56     9.25     9.85
    -5.00    30.00    37.24    28.84     3.51    20.95   -21.47    25.91    11.33     8.40     2.92    74.19    33.56     6.39     7.02
    -5.00    40.00    61.93    38.45     6.81    20.86   -40.48    38.36    23.57    23.48     0.09    99.62    12.81     4.96     5.63
    -5.00    50.00    75.96    48.58     7.96    20.84   -51.01    45.77    30.19    27.38     2.81    90.69     5.65     4.12     4.80
    -5.00    60.00    76.44    59.81     7.12    20.78   -58.22    46.17    30.27    16.63    13.64    54.93     5.91     3.58     4.26
    -5.00    70.00    76.96    73.53     6.19    20.73   -68.23    46.65    30.31     3.43    26.88    11.30     5.63     3.23     3.89
    -5.00     0.00     0.01    -0.01    -0.34    21.15    -0.68    -0.01     0.00    -0.02     0.02     0.00    67.41 ******** ********
    -5.00   -10.00    -9.88   -10.63    -0.96    21.19    -2.90    -9.33    -1.29    -0.75    -0.55    57.68    76.91    17.88    18.41
    -5.00   -20.00   -19.40   -22.57    -1.36    21.24    -9.69   -17.58    -4.99    -3.16    -1.83    63.42    86.29     9.25     9.85
    -5.00   -30.00   -28.84   -37.24    -1.56    21.28   -21.47   -25.91   -11.33    -8.40    -2.92    74.19    95.81     6.39     7.02
    -5.00   -40.00   -38.45   -61.93    -1.55    21.32   -40.48   -38.36   -23.57   -23.48    -0.09    99.62   105.72     4.96     5.63
    -5.00   -50.00   -48.58   -75.96    -1.31    21.34   -51.01   -45.77   -30.19   -27.38    -2.81    90.69   116.41     4.12     4.80
    -5.00   -60.00   -59.81   -76.44    -0.77    21.34   -58.22   -46.17   -30.27   -16.63   -13.64    54.93   128.51     3.58     4.26
    -5.00   -70.00   -73.53   -76.96     0.24    21.25   -68.23   -46.65   -30.31    -3.43   -26.88    11.30   143.57     3.23     3.89
   -10.00     0.00     0.03    -0.03    -0.19    21.14    -1.46    -0.03     0.00    -0.05     0.05     0.00    67.46 ******** ********
   -10.00    10.00    10.65     9.87     0.69    21.09    -3.65     9.35     1.30     0.78     0.52    59.84    57.52    17.89    18.42
   -10.00    20.00    22.61    19.41     1.90    21.03   -10.34    17.60     5.00     3.20     1.80    63.96    46.62     9.25     9.85
   -10.00    30.00    37.30    28.85     3.64    20.95   -21.95    25.95    11.35     8.45     2.90    74.42    33.64     6.38     7.02
   -10.00    40.00    62.04    38.47     6.89    20.87   -40.65    38.42    23.63    23.57     0.06    99.76    13.02     4.96     5.63
   -10.00    50.00    76.04    48.62     8.01    20.85   -50.95    45.81    30.23    27.42     2.81    90.71     6.22     4.12     4.80
   -10.00    60.00    76.51    59.87     7.17    20.80   -58.01    46.21    30.30    16.64    13.67    54.90     6.53     3.58     4.26
   -10.00    70.00    77.03    73.65     6.25    20.75   -67.79    46.68    30.35     3.38    26.96    11.14     6.37     3.23     3.89
   -10.00     0.00     0.03    -0.03    -0.19    21.14    -1.46    -0.03     0.00    -0.05     0.05     0.00    67.46 ******** ********
   -10.00   -10.00    -9.87   -10.65    -0.81    21.19    -3.65    -9.35    -1.30    -0.78    -0.52    59.84    76.96    17.89    18.42
   -10.00   -20.00   -19.41   -22.61    -1.22    21.23   -10.34   -17.60    -5.00    -3.20    -1.80    63.96    86.34     9.25     9.85
   -10.00   -30.00   -28.85   -37.30    -1.43    21.27   -21.95   -25.95   -11.35    -8.45    -2.90    74.42    95.85     6.38     7.02
   -10.00   -40.00   -38.47   -62.04    -1.43    21.31   -40.65   -38.42   -23.63   -23.57    -0.06    99.76   105.77     4.96     5.63
   -10.00   -50.00   -48.62   -76.04    -1.21    21.33   -50.95   -45.81   -30.23   -27.42    -2.81    90.71   116.46     4.12     4.80
   -10.00   -60.00   -59.87   -76.51    -0.69    21.32   -58.01   -46.21   -30.30   -16.64   -13.67    54.90   128.56     3.58     4.26
   -10.00   -70.00   -73.65   -77.03     0.30    21.24   -67.79   -46.68   -30.35    -3.38   -26.96    11.14   143.64     3.23     3.89
   -15.00     0.00     0.04    -0.04    -0.04    21.13    -2.35    -0.04     0.00    -0.09     0.09     0.00    67.51 ******** ********
   -15.00    10.00    10.68     9.86     0.84    21.08    -4.51     9.37     1.30     0.82     0.49    62.58    57.57    17.91    18.44
   -15.00    20.00    22.65    19.40     2.04    21.02   -11.11    17.63     5.01     3.24     1.77    64.66    46.69     9.25     9.85
   -15.00    30.00    37.36    28.86     3.77    20.95   -22.54    25.98    11.37     8.50     2.87    74.73    33.74     6.38     7.02
   -15.00    40.00    62.16    38.49     6.98    20.88   -40.95    38.48    23.68    23.67     0.01    99.95    13.25     4.96     5.63
   -15.00    50.00    76.12    48.65     8.06    20.86   -51.03    45.86    30.26    27.47     2.79    90.76     6.79     4.12     4.80
   -15.00    60.00    76.58    59.93     7.22    20.81   -57.95    46.24    30.34    16.65    13.68    54.90     7.15     3.58     4.26
   -15.00    70.00    77.10    73.75     6.31    20.77   -67.52    46.72    30.38     3.35    27.03    11.02     7.11     3.23     3.89
   -15.00     0.00     0.04    -0.04    -0.04    21.13    -2.35    -0.04     0.00    -0.09     0.09     0.00    67.51 ******** ********
   -15.00   -10.00    -9.86   -10.68    -0.66    21.18    -4.51    -9.37    -1.30    -0.82    -0.49    62.58    77.00    17.91    18.44
   -15.00   -20.00   -19.40   -22.65    -1.08    21.22   -11.11   -17.63    -5.01    -3.24    -1.77    64.66    86.38     9.25     9.85
   -15.00   -30.00   -28.86   -37.36    -1.30    21.26   -22.54   -25.98   -11.37    -8.50    -2.87    74.73    95.89     6.38     7.02
   -15.00   -40.00   -38.49   -62.16    -1.31    21.30   -40.95   -38.48   -23.68   -23.67    -0.01    99.95   105.80     4.96     5.63
   -15.00   -50.00   -48.65   -76.12    -1.11    21.32   -51.03   -45.86   -30.26   -27.47    -2.79    90.76   116.49     4.12     4.80
