
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            gnistFront                                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.00    -0.35    -2.18     2.21    24.99    25.01     1.37    -1.35     0.00     0.02     0.01    -0.15     0.00    -1.76
    30.00  1000.00     0.00     0.33    -0.01    -2.80     2.83    29.97    29.99     1.58    -1.56    -0.02     0.00    -0.13    -0.02     2.23     0.00
    30.00 -1000.00     0.00    -0.36    -0.01    -2.85     2.83    30.00    29.99     1.54    -1.56     0.02     0.00     0.16    -0.02    -2.35     0.00
    30.00     0.00  1000.00    -0.01     0.33    -2.83     2.80    29.99    29.97     1.56    -1.58     0.00    -0.02     0.02     0.13     0.00     2.23
    30.00     0.00 -1000.00    -0.01    -0.36    -2.83     2.85    29.99    30.00     1.56    -1.54     0.00     0.02     0.02    -0.16     0.00    -2.35
    35.00  1000.00     0.00     0.32    -0.03    -3.52     3.54    34.96    34.98     1.77    -1.75    -0.02     0.00    -0.11    -0.03     2.82     0.00
    35.00 -1000.00     0.00    -0.38    -0.03    -3.57     3.54    35.00    34.98     1.74    -1.75     0.01     0.00     0.18    -0.03    -2.94     0.00
    35.00     0.00  1000.00    -0.03     0.32    -3.54     3.52    34.98    34.96     1.75    -1.77     0.00    -0.02     0.03     0.11     0.00     2.82
    35.00     0.00 -1000.00    -0.03    -0.38    -3.54     3.57    34.98    35.00     1.75    -1.74     0.00     0.01     0.03    -0.18     0.00    -2.94
    40.00  1000.00     0.00     0.31    -0.04    -4.30     4.33    39.95    39.97     1.97    -1.95    -0.03    -0.01    -0.09    -0.05     3.40     0.00
    40.00 -1000.00     0.00    -0.39    -0.04    -4.36     4.33    40.00    39.97     1.94    -1.95     0.01    -0.01     0.20    -0.05    -3.53     0.00
    40.00     0.00  1000.00    -0.04     0.31    -4.33     4.30    39.97    39.95     1.95    -1.97    -0.01    -0.03     0.05     0.09     0.00     3.40
    40.00     0.00 -1000.00    -0.04    -0.39    -4.33     4.36    39.97    40.00     1.95    -1.94    -0.01     0.01     0.05    -0.20     0.00    -3.53
    -5.00  1000.00     0.00     0.34    -0.01     0.25    -0.23    -4.99    -5.00     0.36    -0.34    -0.02     0.00    -0.13    -0.01    -2.06     0.00
    -5.00 -1000.00     0.00    -0.35    -0.01     0.20    -0.23    -5.02    -5.00     0.32    -0.34     0.01     0.00     0.15    -0.01     1.99     0.00
    -5.00     0.00  1000.00    -0.01     0.34     0.23    -0.25    -5.00    -4.99     0.34    -0.36     0.00    -0.02     0.01     0.13     0.00    -2.06
    -5.00     0.00 -1000.00    -0.01    -0.35     0.23    -0.20    -5.00    -5.02     0.34    -0.32     0.00     0.01     0.01    -0.15     0.00     1.99
   -10.00  1000.00     0.00     0.33    -0.02     0.40    -0.38    -9.98   -10.00     0.20    -0.19    -0.02     0.00    -0.12    -0.03    -2.71     0.00
   -10.00 -1000.00     0.00    -0.37    -0.02     0.36    -0.38   -10.02   -10.00     0.17    -0.19     0.01     0.00     0.17    -0.03     2.65     0.00
   -10.00     0.00  1000.00    -0.02     0.33     0.38    -0.40   -10.00    -9.98     0.19    -0.20     0.00    -0.02     0.03     0.12     0.00    -2.71
   -10.00     0.00 -1000.00    -0.02    -0.37     0.38    -0.36   -10.00   -10.02     0.19    -0.17     0.00     0.01     0.03    -0.17     0.00     2.65
   -15.00  1000.00     0.00     0.31    -0.04     0.49    -0.47   -14.98   -15.01     0.06    -0.04    -0.02     0.00    -0.10    -0.04    -3.37     0.00
   -15.00 -1000.00     0.00    -0.38    -0.04     0.44    -0.47   -15.03   -15.01     0.02    -0.04     0.01     0.00     0.19    -0.04     3.32     0.00
   -15.00     0.00  1000.00    -0.04     0.31     0.47    -0.49   -15.01   -14.98     0.04    -0.06     0.00    -0.02     0.04     0.10     0.00    -3.37
   -15.00     0.00 -1000.00    -0.04    -0.38     0.47    -0.44   -15.01   -15.03     0.04    -0.02     0.00     0.01     0.04    -0.19     0.00     3.32
   -20.00  1000.00     0.00     0.29    -0.05     0.50    -0.48   -19.98   -20.01    -0.09     0.11    -0.02    -0.01    -0.07    -0.07    -4.05     0.00
   -20.00 -1000.00     0.00    -0.40    -0.05     0.46    -0.48   -20.04   -20.01    -0.13     0.11     0.01    -0.01     0.21    -0.07     4.01     0.00
   -20.00     0.00  1000.00    -0.05     0.29     0.48    -0.50   -20.01   -19.98    -0.11     0.09    -0.01    -0.02     0.07     0.07     0.00    -4.05
   -20.00     0.00 -1000.00    -0.05    -0.40     0.48    -0.46   -20.01   -20.04    -0.11     0.13    -0.01     0.01     0.07    -0.21     0.00     4.01
   -25.00  1000.00     0.00     0.27    -0.08     0.45    -0.43   -24.98   -25.02    -0.23     0.25    -0.02    -0.01    -0.05    -0.10    -4.74     0.00
   -25.00 -1000.00     0.00    -0.42    -0.08     0.40    -0.43   -25.05   -25.02    -0.27     0.25     0.00    -0.01     0.24    -0.10     4.71     0.00
   -25.00     0.00  1000.00    -0.08     0.27     0.43    -0.45   -25.02   -24.98    -0.25     0.23    -0.01    -0.02     0.10     0.05     0.00    -4.74
   -25.00     0.00 -1000.00    -0.08    -0.42     0.43    -0.40   -25.02   -25.05    -0.25     0.27    -0.01     0.00     0.10    -0.24     0.00     4.71
   -30.00  1000.00     0.00     0.24    -0.10     0.32    -0.30   -29.98   -30.02    -0.37     0.39    -0.03    -0.01    -0.01    -0.13    -5.45     0.00
   -30.00 -1000.00     0.00    -0.45    -0.10     0.28    -0.30   -30.06   -30.02    -0.41     0.39     0.00    -0.01     0.27    -0.13     5.42     0.00
   -30.00     0.00  1000.00    -0.10     0.24     0.30    -0.32   -30.02   -29.98    -0.39     0.37    -0.01    -0.03     0.13     0.01     0.00    -5.45
   -30.00     0.00 -1000.00    -0.10    -0.45     0.30    -0.28   -30.02   -30.06    -0.39     0.41    -0.01     0.00     0.13    -0.27     0.00     5.42
   -35.00  1000.00     0.00     0.21    -0.13     0.13    -0.10   -34.98   -35.03    -0.50     0.52    -0.03    -0.02     0.02    -0.16    -6.17     0.00
   -35.00 -1000.00     0.00    -0.47    -0.13     0.08    -0.10   -35.07   -35.03    -0.54     0.52     0.00    -0.02     0.31    -0.16     6.16     0.00
   -35.00     0.00  1000.00    -0.13     0.21     0.10    -0.13   -35.03   -34.98    -0.52     0.50    -0.02    -0.03     0.16    -0.02     0.00    -6.17
   -35.00     0.00 -1000.00    -0.13    -0.47     0.10    -0.08   -35.03   -35.07    -0.52     0.54    -0.02     0.00     0.16    -0.31     0.00     6.16
   -40.00  1000.00     0.00     0.18    -0.16    -0.14     0.16   -39.98   -40.03    -0.63     0.65    -0.03    -0.02     0.06    -0.21    -6.91     0.00
   -40.00 -1000.00     0.00    -0.51    -0.16    -0.19     0.16   -40.08   -40.03    -0.66     0.65    -0.01    -0.02     0.35    -0.21     6.91     0.00
   -40.00     0.00  1000.00    -0.16     0.18    -0.16     0.14   -40.03   -39.98    -0.65     0.63    -0.02    -0.03     0.21    -0.06     0.00    -6.91
   -40.00     0.00 -1000.00    -0.16    -0.51    -0.16     0.19   -40.03   -40.08    -0.65     0.66    -0.02    -0.01     0.21    -0.35     0.00     6.91
