
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.99     0.52    -4.31     2.17    24.95    13.91     1.42    -0.78     0.42     0.24     0.00     0.00     0.00   996.54
    30.00  1000.00     0.00     1.75     1.22    -8.06     5.40    40.85    29.93     2.41    -1.73     0.68     0.50     0.00     0.00  -988.28     0.00
    30.00 -1000.00     0.00     0.73     1.22    -3.09     5.40    18.92    29.93     1.07    -1.73     0.32     0.50     0.00     0.00   995.17     0.00
    30.00     0.00  1000.00     1.22     1.75    -5.40     8.06    29.93    40.85     1.73    -2.41     0.50     0.68     0.00     0.00     0.00  -988.28
    30.00     0.00 -1000.00     1.22     0.73    -5.40     3.09    29.93    18.92     1.73    -1.07     0.50     0.32     0.00     0.00     0.00   995.17
    -5.00  1000.00     0.00     0.22    -0.17    -0.88    -0.64     6.09    -5.00     0.33     0.27     0.10    -0.09     0.00     0.00  -998.54     0.00
    -5.00 -1000.00     0.00    -0.52    -0.17     1.79    -0.64   -16.17    -5.00    -0.85     0.27    -0.28    -0.09     0.00     0.00  1003.47     0.00
    -5.00     0.00  1000.00    -0.17     0.22     0.64     0.88    -5.00     6.09    -0.27    -0.33    -0.09     0.10     0.00     0.00     0.00  -998.54
    -5.00     0.00 -1000.00    -0.17    -0.52     0.64    -1.79    -5.00   -16.17    -0.27     0.85    -0.09    -0.28     0.00     0.00     0.00  1003.47
   -10.00  1000.00     0.00     0.04    -0.33    -0.15    -1.20     1.11   -10.01     0.06     0.53     0.02    -0.17     0.00     0.00  -999.74     0.00
   -10.00 -1000.00     0.00    -0.67    -0.33     2.19    -1.20   -21.19   -10.01    -1.10     0.53    -0.37    -0.17     0.00     0.00  1004.44     0.00
   -10.00     0.00  1000.00    -0.33     0.04     1.20     0.15   -10.01     1.11    -0.53    -0.06    -0.17     0.02     0.00     0.00     0.00  -999.74
   -10.00     0.00 -1000.00    -0.33    -0.67     1.20    -2.19   -10.01   -21.19    -0.53     1.10    -0.17    -0.37     0.00     0.00     0.00  1004.44
   -15.00  1000.00     0.00    -0.13    -0.49     0.50    -1.69    -3.88   -15.01    -0.21     0.79    -0.07    -0.26     0.00     0.00 -1000.88     0.00
   -15.00 -1000.00     0.00    -0.80    -0.49     2.51    -1.69   -26.21   -15.01    -1.35     0.79    -0.46    -0.26     0.00     0.00  1005.37     0.00
   -15.00     0.00  1000.00    -0.49    -0.13     1.69    -0.50   -15.01    -3.88    -0.79     0.21    -0.26    -0.07     0.00     0.00     0.00 -1000.88
   -15.00     0.00 -1000.00    -0.49    -0.80     1.69    -2.51   -15.01   -26.21    -0.79     1.35    -0.26    -0.46     0.00     0.00     0.00  1005.37
   -20.00  1000.00     0.00    -0.30    -0.63     1.08    -2.10    -8.87   -20.03    -0.47     1.05    -0.15    -0.35     0.00     0.00 -1001.97     0.00
   -20.00 -1000.00     0.00    -0.93    -0.63     2.76    -2.10   -31.24   -20.03    -1.60     1.05    -0.55    -0.35     0.00     0.00  1006.25     0.00
   -20.00     0.00  1000.00    -0.63    -0.30     2.10    -1.08   -20.03    -8.87    -1.05     0.47    -0.35    -0.15     0.00     0.00     0.00 -1001.97
   -20.00     0.00 -1000.00    -0.63    -0.93     2.10    -2.76   -20.03   -31.24    -1.05     1.60    -0.35    -0.55     0.00     0.00     0.00  1006.25
   -25.00  1000.00     0.00    -0.46    -0.77     1.58    -2.44   -13.87   -25.04    -0.73     1.30    -0.24    -0.44     0.00     0.00 -1003.01     0.00
   -25.00 -1000.00     0.00    -1.05    -0.77     2.94    -2.44   -36.27   -25.04    -1.84     1.30    -0.64    -0.44     0.01     0.00  1007.09     0.00
   -25.00     0.00  1000.00    -0.77    -0.46     2.44    -1.58   -25.04   -13.87    -1.30     0.73    -0.44    -0.24     0.00     0.00     0.00 -1003.01
   -25.00     0.00 -1000.00    -0.77    -1.05     2.44    -2.94   -25.04   -36.27    -1.30     1.84    -0.44    -0.64     0.00    -0.01     0.00  1007.09
   -30.00  1000.00     0.00    -0.60    -0.90     2.01    -2.71   -18.87   -30.06    -0.99     1.54    -0.33    -0.52     0.00     0.00 -1003.99     0.00
   -30.00 -1000.00     0.00    -1.15    -0.90     3.04    -2.71   -41.30   -30.06    -2.07     1.54    -0.73    -0.52     0.01     0.00  1007.89     0.00
   -30.00     0.00  1000.00    -0.90    -0.60     2.71    -2.01   -30.06   -18.87    -1.54     0.99    -0.52    -0.33     0.00     0.00     0.00 -1003.99
   -30.00     0.00 -1000.00    -0.90    -1.15     2.71    -3.04   -30.06   -41.30    -1.54     2.07    -0.52    -0.73     0.00    -0.01     0.00  1007.89
