
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.99     0.90    -4.31     3.81    24.95    22.71     2.42    -2.29     0.42     0.38    -0.01    -0.01     0.00   202.79
    30.00  1000.00     0.00     1.11     1.22    -4.83     5.40    27.53    29.93     2.58    -2.73     0.46     0.50     0.01     0.01   217.36     0.00
    30.00 -1000.00     0.00     1.33     1.22    -6.02     5.40    32.50    29.93     2.88    -2.73     0.55     0.50    -0.03     0.01  -232.52     0.00
    30.00     0.00  1000.00     1.22     1.33    -5.40     6.02    29.93    32.50     2.73    -2.88     0.50     0.55    -0.01     0.03     0.00  -232.52
    30.00     0.00 -1000.00     1.22     1.11    -5.40     4.83    29.93    27.53     2.73    -2.58     0.50     0.46    -0.01    -0.01     0.00   217.36
    -5.00  1000.00     0.00    -0.21    -0.17     0.82    -0.64    -6.29    -5.00     0.66    -0.73    -0.11    -0.09     0.02     0.00   116.22     0.00
    -5.00 -1000.00     0.00    -0.13    -0.17     0.44    -0.64    -3.62    -5.00     0.81    -0.73    -0.06    -0.09    -0.02     0.00  -124.15     0.00
    -5.00     0.00  1000.00    -0.17    -0.13     0.64    -0.44    -5.00    -3.62     0.73    -0.81    -0.09    -0.06     0.00     0.02     0.00  -124.15
    -5.00     0.00 -1000.00    -0.17    -0.21     0.64    -0.82    -5.00    -6.29     0.73    -0.66    -0.09    -0.11     0.00    -0.02     0.00   116.22
   -10.00  1000.00     0.00    -0.36    -0.33     1.35    -1.20   -11.14   -10.01     0.41    -0.47    -0.19    -0.17     0.02     0.00   101.87     0.00
   -10.00 -1000.00     0.00    -0.30    -0.33     1.04    -1.20    -8.80   -10.01     0.53    -0.47    -0.15    -0.17    -0.01     0.00  -108.82     0.00
   -10.00     0.00  1000.00    -0.33    -0.30     1.20    -1.04   -10.01    -8.80     0.47    -0.53    -0.17    -0.15     0.00     0.01     0.00  -108.82
   -10.00     0.00 -1000.00    -0.33    -0.36     1.20    -1.35   -10.01   -11.14     0.47    -0.41    -0.17    -0.19     0.00    -0.02     0.00   101.87
   -15.00  1000.00     0.00    -0.51    -0.49     1.80    -1.69   -15.99   -15.01     0.16    -0.21    -0.28    -0.26     0.02    -0.01    87.54     0.00
   -15.00 -1000.00     0.00    -0.47    -0.49     1.56    -1.69   -13.97   -15.01     0.26    -0.21    -0.24    -0.26    -0.01    -0.01   -93.50     0.00
   -15.00     0.00  1000.00    -0.49    -0.47     1.69    -1.56   -15.01   -13.97     0.21    -0.26    -0.26    -0.24     0.01     0.01     0.00   -93.50
   -15.00     0.00 -1000.00    -0.49    -0.51     1.69    -1.80   -15.01   -15.99     0.21    -0.16    -0.26    -0.28     0.01    -0.02     0.00    87.54
   -20.00  1000.00     0.00    -0.65    -0.63     2.19    -2.10   -20.84   -20.03    -0.09     0.05    -0.36    -0.35     0.03    -0.01    73.20     0.00
   -20.00 -1000.00     0.00    -0.62    -0.63     2.01    -2.10   -19.16   -20.03     0.00     0.05    -0.33    -0.35    -0.01    -0.01   -78.19     0.00
   -20.00     0.00  1000.00    -0.63    -0.62     2.10    -2.01   -20.03   -19.16    -0.05     0.00    -0.35    -0.33     0.01     0.01     0.00   -78.19
   -20.00     0.00 -1000.00    -0.63    -0.65     2.10    -2.19   -20.03   -20.84    -0.05     0.09    -0.35    -0.36     0.01    -0.03     0.00    73.20
   -25.00  1000.00     0.00    -0.78    -0.77     2.51    -2.44   -25.70   -25.04    -0.33     0.30    -0.45    -0.44     0.03    -0.01    58.86     0.00
   -25.00 -1000.00     0.00    -0.76    -0.77     2.37    -2.44   -24.34   -25.04    -0.26     0.30    -0.42    -0.44    -0.01    -0.01   -62.88     0.00
   -25.00     0.00  1000.00    -0.77    -0.76     2.44    -2.37   -25.04   -24.34    -0.30     0.26    -0.44    -0.42     0.01     0.01     0.00   -62.88
   -25.00     0.00 -1000.00    -0.77    -0.78     2.44    -2.51   -25.04   -25.70    -0.30     0.33    -0.44    -0.45     0.01    -0.03     0.00    58.86
   -30.00  1000.00     0.00    -0.90    -0.90     2.76    -2.71   -30.55   -30.06    -0.57     0.54    -0.53    -0.52     0.03    -0.01    44.51     0.00
   -30.00 -1000.00     0.00    -0.90    -0.90     2.66    -2.71   -29.53   -30.06    -0.51     0.54    -0.52    -0.52     0.00    -0.01   -47.55     0.00
   -30.00     0.00  1000.00    -0.90    -0.90     2.71    -2.66   -30.06   -29.53    -0.54     0.51    -0.52    -0.52     0.01     0.00     0.00   -47.55
   -30.00     0.00 -1000.00    -0.90    -0.90     2.71    -2.76   -30.06   -30.55    -0.54     0.57    -0.52    -0.53     0.01    -0.03     0.00    44.51
