
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2018                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00  1000.00    -0.90    -1.30    -3.35     5.35    24.97    35.97     1.08    -1.59    -0.57    -0.82     0.00     0.00     0.00  -993.30
    25.00     0.00 -1000.00    -0.90    -0.50    -3.35     1.66    24.97    13.91     1.08    -0.59    -0.57    -0.32     0.00     0.00     0.00   997.64
    30.00  1000.00     0.00    -1.48    -1.08    -6.37     4.22    40.93    29.95     1.83    -1.31    -0.93    -0.68     0.00     0.00  -992.21     0.00
    30.00 -1000.00     0.00    -0.68    -1.08    -2.38     4.22    18.91    29.95     0.81    -1.31    -0.43    -0.68     0.00     0.00   996.72     0.00
    30.00     0.00  1000.00    -1.08    -1.48    -4.22     6.37    29.95    40.93     1.31    -1.83    -0.68    -0.93     0.00     0.00     0.00  -992.21
    30.00     0.00 -1000.00    -1.08    -0.68    -4.22     2.38    29.95    18.91     1.31    -0.81    -0.68    -0.43     0.00     0.00     0.00   996.72
    -5.00  1000.00     0.00    -0.22     0.18    -0.66    -0.47     6.10    -5.00     0.26     0.21    -0.14     0.11     0.00     0.00  -999.00     0.00
    -5.00 -1000.00     0.00     0.59     0.18     1.29    -0.47   -16.15    -5.00    -0.65     0.21     0.37     0.11     0.00     0.00  1002.43     0.00
    -5.00     0.00  1000.00     0.18    -0.22     0.47     0.66    -5.00     6.10    -0.21    -0.26     0.11    -0.14     0.00     0.00     0.00  -999.00
    -5.00     0.00 -1000.00     0.18     0.59     0.47    -1.29    -5.00   -16.15    -0.21     0.65     0.11     0.37     0.00     0.00     0.00  1002.43
   -10.00  1000.00     0.00    -0.04     0.36    -0.11    -0.88     1.11   -10.00     0.05     0.41    -0.03     0.23     0.00     0.00  -999.82     0.00
   -10.00 -1000.00     0.00     0.77     0.36     1.55    -0.88   -21.17   -10.00    -0.84     0.41     0.49     0.23     0.00     0.00  1003.12     0.00
   -10.00     0.00  1000.00     0.36    -0.04     0.88     0.11   -10.00     1.11    -0.41    -0.05     0.23    -0.03     0.00     0.00     0.00  -999.82
   -10.00     0.00 -1000.00     0.36     0.77     0.88    -1.55   -10.00   -21.17    -0.41     0.84     0.23     0.49     0.00     0.00     0.00  1003.12
   -15.00  1000.00     0.00     0.14     0.55     0.37    -1.22    -3.88   -15.01    -0.16     0.61     0.09     0.34     0.00     0.00 -1000.61     0.00
   -15.00 -1000.00     0.00     0.95     0.55     1.75    -1.22   -26.18   -15.01    -1.04     0.61     0.60     0.34     0.00     0.00  1003.79     0.00
   -15.00     0.00  1000.00     0.55     0.14     1.22    -0.37   -15.01    -3.88    -0.61     0.16     0.34     0.09     0.00     0.00     0.00 -1000.61
   -15.00     0.00 -1000.00     0.55     0.95     1.22    -1.75   -15.01   -26.18    -0.61     1.04     0.34     0.60     0.00     0.00     0.00  1003.79
   -20.00  1000.00     0.00     0.32     0.73     0.79    -1.50    -8.88   -20.02    -0.36     0.80     0.20     0.46     0.00     0.00 -1001.37     0.00
   -20.00 -1000.00     0.00     1.13     0.73     1.88    -1.50   -31.20   -20.02    -1.22     0.80     0.72     0.46     0.00     0.00  1004.43     0.00
   -20.00     0.00  1000.00     0.73     0.32     1.50    -0.79   -20.02    -8.88    -0.80     0.36     0.46     0.20     0.00     0.00     0.00 -1001.37
   -20.00     0.00 -1000.00     0.73     1.13     1.50    -1.88   -20.02   -31.20    -0.80     1.22     0.46     0.72     0.00     0.00     0.00  1004.43
   -25.00  1000.00     0.00     0.50     0.91     1.15    -1.71   -13.87   -25.03    -0.56     0.99     0.32     0.57     0.00     0.00 -1002.10     0.00
   -25.00 -1000.00     0.00     1.32     0.91     1.94    -1.71   -36.22   -25.03    -1.41     0.99     0.83     0.57     0.00     0.00  1005.04     0.00
   -25.00     0.00  1000.00     0.91     0.50     1.71    -1.15   -25.03   -13.87    -0.99     0.56     0.57     0.32     0.00     0.00     0.00 -1002.10
   -25.00     0.00 -1000.00     0.91     1.32     1.71    -1.94   -25.03   -36.22    -0.99     1.41     0.57     0.83     0.00     0.00     0.00  1005.04
   -30.00  1000.00     0.00     0.69     1.09     1.44    -1.85   -18.87   -30.04    -0.75     1.18     0.43     0.69     0.00     0.00 -1002.80     0.00
   -30.00 -1000.00     0.00     1.50     1.09     1.94    -1.85   -41.25   -30.04    -1.59     1.18     0.95     0.69     0.00     0.00  1005.64     0.00
   -30.00     0.00  1000.00     1.09     0.69     1.85    -1.44   -30.04   -18.87    -1.18     0.75     0.69     0.43     0.00     0.00     0.00 -1002.80
   -30.00     0.00 -1000.00     1.09     1.50     1.85    -1.94   -30.04   -41.25    -1.18     1.59     0.69     0.95     0.00     0.00     0.00  1005.64
