
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2018                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00  1000.00    -0.90    -0.98    -3.35     3.69    24.97    26.87     1.08    -1.17    -0.57    -0.61     0.00    -0.01     0.00  -171.80
    25.00     0.00 -1000.00    -0.90    -0.83    -3.35     3.03    24.97    23.17     1.08    -1.00    -0.57    -0.53     0.00     0.01     0.00   161.96
    30.00  1000.00     0.00    -1.00    -1.08    -3.85     4.22    28.02    29.95     1.22    -1.31    -0.64    -0.68    -0.01     0.00   174.82     0.00
    30.00 -1000.00     0.00    -1.17    -1.08    -4.62     4.22    32.01    29.95     1.41    -1.31    -0.73    -0.68     0.01     0.00  -185.48     0.00
    30.00     0.00  1000.00    -1.08    -1.17    -4.22     4.62    29.95    32.01     1.31    -1.41    -0.68    -0.73     0.00    -0.01     0.00  -185.48
    30.00     0.00 -1000.00    -1.08    -1.00    -4.22     3.85    29.95    28.02     1.31    -1.22    -0.68    -0.64     0.00     0.01     0.00   174.82
    -5.00  1000.00     0.00     0.23     0.18     0.58    -0.47    -5.95    -5.00    -0.25     0.21     0.14     0.11    -0.01     0.00    85.45     0.00
    -5.00 -1000.00     0.00     0.14     0.18     0.36    -0.47    -3.99    -5.00    -0.16     0.21     0.09     0.11     0.01     0.00   -90.57     0.00
    -5.00     0.00  1000.00     0.18     0.14     0.47    -0.36    -5.00    -3.99    -0.21     0.16     0.11     0.09     0.00    -0.01     0.00   -90.57
    -5.00     0.00 -1000.00     0.18     0.23     0.47    -0.58    -5.00    -5.95    -0.21     0.25     0.11     0.14     0.00     0.01     0.00    85.45
   -10.00  1000.00     0.00     0.40     0.36     0.96    -0.88   -10.81   -10.00    -0.44     0.41     0.25     0.23    -0.01     0.00    72.77     0.00
   -10.00 -1000.00     0.00     0.32     0.36     0.79    -0.88    -9.15   -10.00    -0.37     0.41     0.21     0.23     0.01     0.00   -77.12     0.00
   -10.00     0.00  1000.00     0.36     0.32     0.88    -0.79   -10.00    -9.15    -0.41     0.37     0.23     0.21     0.00    -0.01     0.00   -77.12
   -10.00     0.00 -1000.00     0.36     0.40     0.88    -0.96   -10.00   -10.81    -0.41     0.44     0.23     0.25     0.00     0.01     0.00    72.77
   -15.00  1000.00     0.00     0.58     0.55     1.28    -1.22   -15.68   -15.01    -0.63     0.61     0.36     0.34    -0.01     0.00    60.09     0.00
   -15.00 -1000.00     0.00     0.51     0.55     1.15    -1.22   -14.30   -15.01    -0.58     0.61     0.33     0.34     0.00     0.00   -63.68     0.00
   -15.00     0.00  1000.00     0.55     0.51     1.22    -1.15   -15.01   -14.30    -0.61     0.58     0.34     0.33     0.00     0.00     0.00   -63.68
   -15.00     0.00 -1000.00     0.55     0.58     1.22    -1.28   -15.01   -15.68    -0.61     0.63     0.34     0.36     0.00     0.01     0.00    60.09
   -20.00  1000.00     0.00     0.76     0.73     1.54    -1.50   -20.55   -20.02    -0.82     0.80     0.47     0.46    -0.01     0.00    47.41     0.00
   -20.00 -1000.00     0.00     0.70     0.73     1.45    -1.50   -19.46   -20.02    -0.78     0.80     0.44     0.46     0.00     0.00   -50.25     0.00
   -20.00     0.00  1000.00     0.73     0.70     1.50    -1.45   -20.02   -19.46    -0.80     0.78     0.46     0.44     0.00     0.00     0.00   -50.25
   -20.00     0.00 -1000.00     0.73     0.76     1.50    -1.54   -20.02   -20.55    -0.80     0.82     0.46     0.47     0.00     0.01     0.00    47.41
   -25.00  1000.00     0.00     0.93     0.91     1.74    -1.71   -25.42   -25.03    -1.01     0.99     0.58     0.57    -0.01     0.00    34.74     0.00
   -25.00 -1000.00     0.00     0.89     0.91     1.67    -1.71   -24.62   -25.03    -0.97     0.99     0.56     0.57     0.00     0.00   -36.82     0.00
   -25.00     0.00  1000.00     0.91     0.89     1.71    -1.67   -25.03   -24.62    -0.99     0.97     0.57     0.56     0.00     0.00     0.00   -36.82
   -25.00     0.00 -1000.00     0.91     0.93     1.71    -1.74   -25.03   -25.42    -0.99     1.01     0.57     0.58     0.00     0.01     0.00    34.74
   -30.00  1000.00     0.00     1.11     1.09     1.88    -1.85   -30.29   -30.04    -1.19     1.18     0.69     0.69    -0.01     0.00    22.05     0.00
   -30.00 -1000.00     0.00     1.07     1.09     1.83    -1.85   -29.78   -30.04    -1.17     1.18     0.68     0.69     0.00     0.00   -23.37     0.00
   -30.00     0.00  1000.00     1.09     1.07     1.85    -1.83   -30.04   -29.78    -1.18     1.17     0.69     0.68     0.00     0.00     0.00   -23.37
   -30.00     0.00 -1000.00     1.09     1.11     1.85    -1.88   -30.04   -30.29    -1.18     1.19     0.69     0.69     0.00     0.01     0.00    22.05
