
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.99     0.76    -4.31     4.21    24.95    24.47     2.42    -2.40     0.42     0.43    -0.01    -0.04     0.00    43.84
    30.00  1000.00     0.00     1.45     1.22    -5.51     5.40    30.44    29.93     2.75    -2.73     0.50     0.50    -0.06     0.01   -46.07     0.00
    30.00 -1000.00     0.00     0.98     1.22    -5.29     5.40    29.43    29.93     2.70    -2.73     0.51     0.50     0.04     0.01    45.61     0.00
    30.00     0.00  1000.00     1.22     1.45    -5.40     5.51    29.93    30.44     2.73    -2.75     0.50     0.50    -0.01     0.06     0.00   -46.07
    30.00     0.00 -1000.00     1.22     0.98    -5.40     5.29    29.93    29.43     2.73    -2.70     0.50     0.51    -0.01    -0.04     0.00    45.61
    -5.00  1000.00     0.00     0.05    -0.17     0.60    -0.64    -4.63    -5.00     0.75    -0.73    -0.09    -0.09    -0.04     0.00   -33.68     0.00
    -5.00 -1000.00     0.00    -0.39    -0.17     0.67    -0.64    -5.37    -5.00     0.71    -0.73    -0.08    -0.09     0.05     0.00    33.35     0.00
    -5.00     0.00  1000.00    -0.17     0.05     0.64    -0.60    -5.00    -4.63     0.73    -0.75    -0.09    -0.09     0.00     0.04     0.00   -33.68
    -5.00     0.00 -1000.00    -0.17    -0.39     0.64    -0.67    -5.00    -5.37     0.73    -0.71    -0.09    -0.08     0.00    -0.05     0.00    33.35
   -10.00  1000.00     0.00    -0.12    -0.33     1.17    -1.20    -9.65   -10.01     0.48    -0.47    -0.18    -0.17    -0.04     0.00   -31.93     0.00
   -10.00 -1000.00     0.00    -0.55    -0.33     1.23    -1.20   -10.36   -10.01     0.45    -0.47    -0.17    -0.17     0.05     0.00    31.62     0.00
   -10.00     0.00  1000.00    -0.33    -0.12     1.20    -1.17   -10.01    -9.65     0.47    -0.48    -0.17    -0.18     0.00     0.04     0.00   -31.93
   -10.00     0.00 -1000.00    -0.33    -0.55     1.20    -1.23   -10.01   -10.36     0.47    -0.45    -0.17    -0.17     0.00    -0.05     0.00    31.62
   -15.00  1000.00     0.00    -0.27    -0.49     1.67    -1.69   -14.68   -15.01     0.22    -0.21    -0.27    -0.26    -0.04    -0.01   -30.19     0.00
   -15.00 -1000.00     0.00    -0.71    -0.49     1.71    -1.69   -15.35   -15.01     0.19    -0.21    -0.25    -0.26     0.05    -0.01    29.89     0.00
   -15.00     0.00  1000.00    -0.49    -0.27     1.69    -1.67   -15.01   -14.68     0.21    -0.22    -0.26    -0.27     0.01     0.04     0.00   -30.19
   -15.00     0.00 -1000.00    -0.49    -0.71     1.69    -1.71   -15.01   -15.35     0.21    -0.19    -0.26    -0.25     0.01    -0.05     0.00    29.89
   -20.00  1000.00     0.00    -0.42    -0.63     2.09    -2.10   -19.71   -20.03    -0.03     0.05    -0.36    -0.35    -0.04    -0.01   -28.44     0.00
   -20.00 -1000.00     0.00    -0.85    -0.63     2.12    -2.10   -20.34   -20.03    -0.06     0.05    -0.34    -0.35     0.05    -0.01    28.16     0.00
   -20.00     0.00  1000.00    -0.63    -0.42     2.10    -2.09   -20.03   -19.71    -0.05     0.03    -0.35    -0.36     0.01     0.04     0.00   -28.44
   -20.00     0.00 -1000.00    -0.63    -0.85     2.10    -2.12   -20.03   -20.34    -0.05     0.06    -0.35    -0.34     0.01    -0.05     0.00    28.16
   -25.00  1000.00     0.00    -0.56    -0.77     2.43    -2.44   -24.74   -25.04    -0.28     0.30    -0.44    -0.44    -0.03    -0.01   -26.70     0.00
   -25.00 -1000.00     0.00    -0.99    -0.77     2.45    -2.44   -25.33   -25.04    -0.31     0.30    -0.43    -0.44     0.06    -0.01    26.44     0.00
   -25.00     0.00  1000.00    -0.77    -0.56     2.44    -2.43   -25.04   -24.74    -0.30     0.28    -0.44    -0.44     0.01     0.03     0.00   -26.70
   -25.00     0.00 -1000.00    -0.77    -0.99     2.44    -2.45   -25.04   -25.33    -0.30     0.31    -0.44    -0.43     0.01    -0.06     0.00    26.44
   -30.00  1000.00     0.00    -0.69    -0.90     2.71    -2.71   -29.78   -30.06    -0.53     0.54    -0.53    -0.52    -0.03    -0.01   -24.96     0.00
   -30.00 -1000.00     0.00    -1.11    -0.90     2.71    -2.71   -30.33   -30.06    -0.55     0.54    -0.52    -0.52     0.06    -0.01    24.72     0.00
   -30.00     0.00  1000.00    -0.90    -0.69     2.71    -2.71   -30.06   -29.78    -0.54     0.53    -0.52    -0.53     0.01     0.03     0.00   -24.96
   -30.00     0.00 -1000.00    -0.90    -1.11     2.71    -2.71   -30.06   -30.33    -0.54     0.55    -0.52    -0.52     0.01    -0.06     0.00    24.72
