
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2018                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00  1000.00    -0.90    -0.66    -3.35     3.27    24.97    24.57     1.08    -1.08    -0.57    -0.58     0.00     0.08     0.00    35.93
    25.00     0.00 -1000.00    -0.90    -1.15    -3.35     3.43    24.97    25.37     1.08    -1.09    -0.57    -0.55     0.00    -0.08     0.00   -35.97
    30.00  1000.00     0.00    -0.84    -1.08    -4.13     4.22    29.55    29.95     1.30    -1.31    -0.70    -0.68    -0.08     0.00    35.86     0.00
    30.00 -1000.00     0.00    -1.33    -1.08    -4.30     4.22    30.35    29.95     1.32    -1.31    -0.67    -0.68     0.08     0.00   -35.90     0.00
    30.00     0.00  1000.00    -1.08    -0.84    -4.22     4.13    29.95    29.55     1.31    -1.30    -0.68    -0.70     0.00     0.08     0.00    35.86
    30.00     0.00 -1000.00    -1.08    -1.33    -4.22     4.30    29.95    30.35     1.31    -1.32    -0.68    -0.67     0.00    -0.08     0.00   -35.90
    -5.00  1000.00     0.00     0.42     0.18     0.52    -0.47    -5.40    -5.00    -0.21     0.21     0.10     0.11    -0.07     0.00    36.33     0.00
    -5.00 -1000.00     0.00    -0.06     0.18     0.43    -0.47    -4.60    -5.00    -0.20     0.21     0.13     0.11     0.07     0.00   -36.36     0.00
    -5.00     0.00  1000.00     0.18     0.42     0.47    -0.52    -5.00    -5.40    -0.21     0.21     0.11     0.10     0.00     0.07     0.00    36.33
    -5.00     0.00 -1000.00     0.18    -0.06     0.47    -0.43    -5.00    -4.60    -0.21     0.20     0.11     0.13     0.00    -0.07     0.00   -36.36
   -10.00  1000.00     0.00     0.61     0.36     0.92    -0.88   -10.41   -10.00    -0.41     0.41     0.21     0.23    -0.07     0.00    36.39     0.00
   -10.00 -1000.00     0.00     0.12     0.36     0.84    -0.88    -9.60   -10.00    -0.40     0.41     0.24     0.23     0.07     0.00   -36.42     0.00
   -10.00     0.00  1000.00     0.36     0.61     0.88    -0.92   -10.00   -10.41    -0.41     0.41     0.23     0.21     0.00     0.07     0.00    36.39
   -10.00     0.00 -1000.00     0.36     0.12     0.88    -0.84   -10.00    -9.60    -0.41     0.40     0.23     0.24     0.00    -0.07     0.00   -36.42
   -15.00  1000.00     0.00     0.79     0.55     1.25    -1.22   -15.42   -15.01    -0.61     0.61     0.33     0.34    -0.08     0.00    36.45     0.00
   -15.00 -1000.00     0.00     0.30     0.55     1.19    -1.22   -14.61   -15.01    -0.60     0.61     0.36     0.34     0.07     0.00   -36.48     0.00
   -15.00     0.00  1000.00     0.55     0.79     1.22    -1.25   -15.01   -15.42    -0.61     0.61     0.34     0.33     0.00     0.08     0.00    36.45
   -15.00     0.00 -1000.00     0.55     0.30     1.22    -1.19   -15.01   -14.61    -0.61     0.60     0.34     0.36     0.00    -0.07     0.00   -36.48
   -20.00  1000.00     0.00     0.97     0.73     1.53    -1.50   -20.42   -20.02    -0.81     0.80     0.44     0.46    -0.08     0.00    36.50     0.00
   -20.00 -1000.00     0.00     0.49     0.73     1.47    -1.50   -19.61   -20.02    -0.79     0.80     0.47     0.46     0.07     0.00   -36.53     0.00
   -20.00     0.00  1000.00     0.73     0.97     1.50    -1.53   -20.02   -20.42    -0.80     0.81     0.46     0.44     0.00     0.08     0.00    36.50
   -20.00     0.00 -1000.00     0.73     0.49     1.50    -1.47   -20.02   -19.61    -0.80     0.79     0.46     0.47     0.00    -0.07     0.00   -36.53
   -25.00  1000.00     0.00     1.15     0.91     1.73    -1.71   -25.43   -25.03    -1.00     0.99     0.56     0.57    -0.08     0.00    36.55     0.00
   -25.00 -1000.00     0.00     0.67     0.91     1.68    -1.71   -24.62   -25.03    -0.98     0.99     0.59     0.57     0.07     0.00   -36.58     0.00
   -25.00     0.00  1000.00     0.91     1.15     1.71    -1.73   -25.03   -25.43    -0.99     1.00     0.57     0.56     0.00     0.08     0.00    36.55
   -25.00     0.00 -1000.00     0.91     0.67     1.71    -1.68   -25.03   -24.62    -0.99     0.98     0.57     0.59     0.00    -0.07     0.00   -36.58
   -30.00  1000.00     0.00     1.33     1.09     1.87    -1.85   -30.45   -30.04    -1.19     1.18     0.67     0.69    -0.08     0.00    36.60     0.00
   -30.00 -1000.00     0.00     0.85     1.09     1.84    -1.85   -29.63   -30.04    -1.17     1.18     0.70     0.69     0.07     0.00   -36.63     0.00
   -30.00     0.00  1000.00     1.09     1.33     1.85    -1.87   -30.04   -30.45    -1.18     1.19     0.69     0.67     0.00     0.08     0.00    36.60
   -30.00     0.00 -1000.00     1.09     0.85     1.85    -1.84   -30.04   -29.63    -1.18     1.17     0.69     0.70     0.00    -0.07     0.00   -36.63
